panel,scenario,tier,year,entity,origin_region,destination_region,region,role,metric,value,x_value,y_value,minimum,maximum,unit,source_type,style
a,S5,mid,2025,,SC,SC,,,attributed_interregional_flow,10.887905058011707,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,SC,EC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,SC,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,EC,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,EC,SW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,EC,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,EC,CC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,EC,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,EC,EC,,,attributed_interregional_flow,20.74242714333028,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,EC,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NE,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
