panel,scenario,year,k,candidate_ids,links,candidate_id,link,region,construction_cost_10k_cny_per_km,capacity_10kt_y_per_link,metric,value,x_value,unit,source_type,style,marker,capacity_relaxation_gain_mt_y,connector_gain_mt_y,capacity_reaches_connector
a,S1,2060,,,,,,SC,,,connector_gain_2060_pp,64.99033261836924,94.27071064716664,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S1,2025,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2030,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2035,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2040,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2045,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2050,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2055,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2060,,,,,,NW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2025,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2030,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2035,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2040,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2045,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2050,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
