panel,scenario,year,case,metric,value,unit,denominator,source_type,style,x,y,note
a,S5,2055,dynamic_mid_tier,served_share_pct,46.91284911249566,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2055,46.91284911249566,
a,S5,2060,dynamic_mid_tier,served_share_pct,43.31895156475056,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2060,43.31895156475056,
a,S6,2025,dynamic_mid_tier,served_share_pct,85.93310521586078,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2025,85.93310521586078,
a,S6,2030,dynamic_mid_tier,served_share_pct,69.29807099695586,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2030,69.29807099695586,
a,S6,2035,dynamic_mid_tier,served_share_pct,65.48587755921965,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2035,65.48587755921965,
a,S6,2040,dynamic_mid_tier,served_share_pct,62.69684701622521,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2040,62.69684701622521,
a,S6,2045,dynamic_mid_tier,served_share_pct,56.96351815146397,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2045,56.96351815146397,
a,S6,2050,dynamic_mid_tier,served_share_pct,52.30600435990374,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2050,52.30600435990374,
a,S6,2055,dynamic_mid_tier,served_share_pct,49.02904299876701,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2055,49.02904299876701,
a,S6,2060,dynamic_mid_tier,served_share_pct,46.10928617637456,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2060,46.10928617637456,
a,S7,2025,dynamic_mid_tier,served_share_pct,83.11866156733144,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2025,83.11866156733144,
a,S7,2030,dynamic_mid_tier,served_share_pct,65.53655360584567,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2030,65.53655360584567,
a,S7,2035,dynamic_mid_tier,served_share_pct,61.563327396018025,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2035,61.563327396018025,
a,S7,2040,dynamic_mid_tier,served_share_pct,59.553467215103176,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2040,59.553467215103176,
a,S7,2045,dynamic_mid_tier,served_share_pct,53.935457689819216,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2045,53.935457689819216,
a,S7,2050,dynamic_mid_tier,served_share_pct,49.18702529774658,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2050,49.18702529774658,
a,S7,2055,dynamic_mid_tier,served_share_pct,45.8417901854737,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2055,45.8417901854737,
a,S7,2060,dynamic_mid_tier,served_share_pct,42.84033611989062,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2060,42.84033611989062,
a,S8,2025,dynamic_mid_tier,served_share_pct,84.11181619601149,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2025,84.11181619601149,
a,S8,2030,dynamic_mid_tier,served_share_pct,67.00717158567173,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2030,67.00717158567173,
a,S8,2035,dynamic_mid_tier,served_share_pct,63.00479336632059,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2035,63.00479336632059,
a,S8,2040,dynamic_mid_tier,served_share_pct,60.72934252537648,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2040,60.72934252537648,
a,S8,2045,dynamic_mid_tier,served_share_pct,55.20596587606096,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2045,55.20596587606096,
a,S8,2050,dynamic_mid_tier,served_share_pct,50.46675306148131,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2050,50.46675306148131,
a,S8,2055,dynamic_mid_tier,served_share_pct,47.12843506831396,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2055,47.12843506831396,
a,S8,2060,dynamic_mid_tier,served_share_pct,44.62708017238907,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2060,44.62708017238907,
a,S5,2025,dynamic_demand_callout,dynamic_demand_mt,0.706,Mt,S5 middle-tier demand,frozen_manuscript_demand_anchor,callout,2025,0.706,callout only; no model recomputation
a,S5,2030,dynamic_demand_callout,dynamic_demand_mt,7.26,Mt,S5 middle-tier demand,frozen_manuscript_demand_anchor,callout,2030,7.26,callout only; no model recomputation
a,S5,2060,dynamic_demand_callout,dynamic_demand_mt,72.5,Mt,S5 middle-tier demand,frozen_manuscript_demand_anchor,callout,2060,72.5,callout only; no model recomputation
b,S1,2060,provincial_mid_2060_account,served_pct,50.66898112448124,%,total provincial demand,derived_from_frozen_dynamic_gap_account,served,S1,50.66898112448124,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S1,2060,provincial_mid_2060_account,quantity_shortage_pct,0.0,%,total provincial demand,derived_from_frozen_dynamic_gap_account,quantity_shortage,S1,0.0,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
