scenario,tier,year,province_key,supply_10kt
high,high,2050,青海,756.2308284798
high,high,2050,黑龙江,218.8581340408
high,high,2055,上海,0
high,high,2055,云南,426.5391273361
high,high,2055,内蒙古,2262.155830667
high,high,2055,北京,1.425830753507
high,high,2055,吉林,298.3425258283
high,high,2055,四川,48.36870762413
high,high,2055,天津,26.56468374437
high,high,2055,宁夏,390.0351266428
high,high,2055,安徽,49.57505274713
high,high,2055,山东,368.1645059373
high,high,2055,山西,403.69209484
high,high,2055,广东,63.85844481543
high,high,2055,广西,172.235809561
high,high,2055,新疆,1879.310514354
high,high,2055,江苏,112.3690183948
high,high,2055,江西,77.46749387175
high,high,2055,河北,999.27137463
high,high,2055,河南,252.4680158537
high,high,2055,浙江,8.113668969769
high,high,2055,海南,24.91381857785
high,high,2055,湖北,107.3849599834
high,high,2055,湖南,180.7644280144
high,high,2055,甘肃,717.3742810616
high,high,2055,福建,0
high,high,2055,西藏,121.9697629384
high,high,2055,贵州,96.27677012649
high,high,2055,辽宁,315.9469087366
high,high,2055,重庆,0
high,high,2055,陕西,287.2922754245
high,high,2055,青海,837.1773323433
high,high,2055,黑龙江,253.1638584446
high,high,2060,上海,0
high,high,2060,云南,469.9779108951
high,high,2060,内蒙古,2560.377306366
high,high,2060,北京,1.623149803711
high,high,2060,吉林,340.3146059306
high,high,2060,四川,54.22351790179
high,high,2060,天津,29.49793551107
high,high,2060,宁夏,432.0503365912
high,high,2060,安徽,55.14672908854
high,high,2060,山东,415.3561278844
high,high,2060,山西,458.4448204738
high,high,2060,广东,72.63149285495
high,high,2060,广西,194.8931258452
high,high,2060,新疆,2092.832174017
high,high,2060,江苏,127.7581610248
high,high,2060,江西,87.81304041073
high,high,2060,河北,1127.229734815
high,high,2060,河南,288.0719687237
high,high,2060,浙江,9.285585033486
high,high,2060,海南,27.83056230008
high,high,2060,湖北,118.7995610227
high,high,2060,湖南,205.8665041654
high,high,2060,甘肃,801.1621209882
high,high,2060,福建,0
high,high,2060,西藏,134.022608043
high,high,2060,贵州,105.5422802403
high,high,2060,辽宁,360.0076492244
high,high,2060,重庆,0
high,high,2060,陕西,318.8856670268
high,high,2060,青海,918.1238362067
high,high,2060,黑龙江,287.4695828485
low,low,2025,上海,0
low,low,2025,云南,55.42463688618
low,low,2025,内蒙古,249.9712308819
low,low,2025,北京,0.1514952466769
low,low,2025,吉林,31.25517412693
low,low,2025,四川,5.682936472736
low,low,2025,天津,3.304104513969
low,low,2025,宁夏,49.19439301438
low,low,2025,安徽,6.102839052569
low,low,2025,山东,41.55364391617
low,low,2025,山西,43.61439242789
low,low,2025,广东,6.826635729473
low,low,2025,广西,19.06381496691
low,low,2025,新疆,229.8525943639
low,low,2025,江苏,12.04392863904
low,low,2025,江西,8.474082760956
low,low,2025,河北,112.8684626215
low,low,2025,河南,26.39369296253
low,low,2025,浙江,0.8302725596161
low,low,2025,海南,2.991317349124
low,low,2025,湖北,13.64348342791
low,low,2025,湖南,19.15037681832
low,low,2025,甘肃,86.26073717587
low,low,2025,福建,0
low,low,2025,西藏,16.08768591622
low,low,2025,贵州,12.85981034489
low,low,2025,辽宁,33.35094620209
low,low,2025,重庆,0
low,low,2025,陕西,35.8170385815
low,low,2025,青海,111.5778280558
low,low,2025,黑龙江,27.37151708563
low,low,2030,上海,0
low,low,2030,云南,66.18913858822
low,low,2030,内蒙古,281.354582635
low,low,2030,北京,0.1677329831227
low,low,2030,吉林,34.39329916485
low,low,2030,四川,6.551629217933
low,low,2030,天津,3.888159615492
low,low,2030,宁夏,58.16843684761
low,low,2030,安徽,7.155808013932
low,low,2030,山东,47.17042010766
low,low,2030,山西,48.63375276975
low,low,2030,广东,7.578216351306
low,low,2030,广西,21.47170870912
low,low,2030,新疆,268.8942957238
low,low,2030,江苏,13.38480045052
low,low,2030,江西,9.498427052688
low,low,2030,河北,128.1624022524
low,low,2030,河南,29.01681639557
low,low,2030,浙江,0.9040783246239
low,low,2030,海南,3.476261345015
low,low,2030,湖北,16.17223125044
low,low,2030,湖南,21.17627068606
low,low,2030,甘肃,100.2991828734
low,low,2030,福建,0
low,low,2030,西藏,19.30547044414
low,low,2030,贵州,15.49388634266
low,low,2030,辽宁,36.82125879082
low,low,2030,重庆,0
low,low,2030,陕西,42.18244368258
low,low,2030,青海,134.3392811011
low,low,2030,黑龙江,30.53096066124
low,low,2035,上海,0
low,low,2035,云南,94.79399741247
low,low,2035,内蒙古,400.9762229502
low,low,2035,北京,0.2387079572595
low,low,2035,吉林,48.92032703217
low,low,2035,四川,9.356049942556
low,low,2035,天津,5.561878754096
low,low,2035,宁夏,83.24035756838
low,low,2035,安徽,10.23313026806
low,low,2035,山东,67.2742568059
low,low,2035,山西,69.25544711427
low,low,2035,广东,10.78734474649
low,low,2035,广西,30.60245415915
low,low,2035,新疆,384.4589533887
low,low,2035,江苏,19.054667953
low,low,2035,江西,13.53199039343
low,low,2035,河北,182.789225208
low,low,2035,河南,41.26957664012
low,low,2035,浙江,1.284751768088
low,low,2035,海南,4.967566383347
low,low,2035,湖北,23.14745843482
