scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S1,low,2040,SC,50.27181272969,27.53682938778,0,27.53682938778,22.73498334191,54.77588312927,0
S1,low,2040,SW,0,0,0,0,0,0,0
S1,low,2045,CC,0,0,0,0,0,0,0
S1,low,2045,EC,162.2150183058,76.0703909758,0,76.0703909758,86.14462733004,46.89478925581,0
S1,low,2045,NC,53.96102924923,46.01489992974,0,46.01489992974,7.946129319492,85.2743184664,0
S1,low,2045,NE,19.36340808912,19.36340808912,0,19.36340808912,0,100,0
S1,low,2045,NW,0,0,0,0,0,0,0
S1,low,2045,SC,71.67270651796,36.55651958298,0,36.55651958298,35.11618693498,51.00479856139,0
S1,low,2045,SW,0,0,0,0,0,0,0
S1,low,2050,CC,0,0,0,0,0,0,0
S1,low,2050,EC,217.1971735888,101.5602513626,0,101.5602513626,115.6369222262,46.75947190495,0
S1,low,2050,NC,72.25091214907,60.08060417876,0,60.08060417876,12.17030797031,83.15549574627,0
S1,low,2050,NE,25.92656063493,25.92656063493,0,25.92656063493,0,100,0
S1,low,2050,NW,0,0,0,0,0,0,0
S1,low,2050,SC,95.96589416776,46.07279761389,0,46.07279761389,49.89309655388,48.00955382476,0
S1,low,2050,SW,0,0,0,0,0,0,0
S1,low,2055,CC,0,0,0,0,0,0,0
S1,low,2055,EC,279.1492294986,130.2256646365,0,130.2256646365,148.9235648621,46.65091315867,0
S1,low,2055,NC,92.85934123235,75.78993048842,0,75.78993048842,17.06941074393,81.61799285091,0
S1,low,2055,NE,33.32170168334,33.32170168334,0,33.32170168334,0,100,0
S1,low,2055,NW,0,0,0,0,0,0,0
S1,low,2055,SC,123.3386465046,55.35304768463,0,55.35304768463,67.98559882,44.87891610077,0
S1,low,2055,SW,0,0,0,0,0,0,0
S1,low,2060,CC,0,0,0,0,0,0,0
S1,low,2060,EC,348.4950313437,162.2597387434,0,162.2597387434,186.2352926003,46.56012974353,0
S1,low,2060,NC,115.9273091724,93.2428288489,0,93.2428288489,22.68448032349,80.43215141847,0
S1,low,2060,NE,41.59942512977,41.59942512977,0,41.59942512977,0,100,0
S1,low,2060,NW,0,0,0,0,0,0,0
S1,low,2060,SC,153.9782343542,65.21768602688,0,65.21768602688,88.76054832727,42.35513304879,0
S1,low,2060,SW,0,0,0,0,0,0,0
S1,mid,2025,CC,0,0,0,0,0,0,0
S1,mid,2025,EC,13.93980125375,7.181378333847,0,7.181378333847,6.758422919899,51.51707835086,0
S1,mid,2025,NC,4.637092366896,4.637092366896,0,4.637092366896,0,100,0
S1,mid,2025,NE,1.663977005191,1.663977005191,0,1.663977005191,0,100,0
S1,mid,2025,NW,0,0,0,0,0,0,0
S1,mid,2025,SC,6.159129374168,6.159129374168,0,6.159129374168,0,100,0
S1,mid,2025,SW,0,0,0,0,0,0,0
S1,mid,2030,CC,0,0,0,0,0,0,0
S1,mid,2030,EC,104.5485094031,49.01826435722,0,49.01826435722,55.53024504588,46.88566545528,0
S1,mid,2030,NC,34.77819275172,30.61066053341,0,30.61066053341,4.167532218308,88.01682350759,0
S1,mid,2030,NE,12.47982753893,12.47982753893,0,12.47982753893,0,100,0
S1,mid,2030,NW,0,0,0,0,0,0,0
S1,mid,2030,SC,46.19347030625,23.97685360934,0,23.97685360934,22.21661669691,51.905287588,0
S1,mid,2030,SW,0,0,0,0,0,0,0
S1,mid,2035,CC,0,0,0,0,0,0,0
S1,mid,2035,EC,209.0400484496,97.38417343512,0,97.38417343512,111.6558750145,46.58637144289,0
S1,mid,2035,NC,69.53743424286,58.57493937842,0,58.57493937842,10.96249486444,84.23511741007,0
S1,mid,2035,NE,24.95285459616,24.95285459616,0,24.95285459616,0,100,0
S1,mid,2035,NW,0,0,0,0,0,0,0
S1,mid,2035,SC,92.36176896259,42.7267395511,0,42.7267395511,49.63502941149,46.26020054727,0
S1,mid,2035,SW,0,0,0,0,0,0,0
S1,mid,2040,CC,0,0,0,0,0,0,0
S1,mid,2040,EC,332.8891878901,154.7821944679,0,154.7821944679,178.1069934222,46.49661211556,0
S1,mid,2040,NC,110.7360057786,90.5352839629,0,90.5352839629,20.2007218157,81.75776553103,0
S1,mid,2040,NE,39.7365747074,39.7365747074,0,39.7365747074,0,100,0
S1,mid,2040,NW,0,0,0,0,0,0,0
S1,mid,2040,SC,147.0829847682,62.69033359069,0,62.69033359069,84.39265117755,42.6224241298,0
S1,mid,2040,SW,0,0,0,0,0,0,0
S1,mid,2045,CC,0,0,0,0,0,0,0
S1,mid,2045,EC,477.2770949467,221.3605741433,0,221.3605741433,255.9165208034,46.37988633585,0
S1,mid,2045,NC,158.7668241164,126.5714693702,0,126.5714693702,32.19535474628,79.72161065421,0
S1,mid,2045,NE,56.97198235751,56.97198235751,0,56.97198235751,0,100,0
S1,mid,2045,NW,0,0,0,0,0,0,0
S1,mid,2045,SC,210.8790019021,82.02138313614,0,82.02138313614,128.8576187659,38.8949977932,0
S1,mid,2045,SW,0,0,0,0,0,0,0
S1,mid,2050,CC,0,0,0,0,0,0,0
S1,mid,2050,EC,643.384936841,265.8430908094,31.632,297.4750908094,345.9098460317,46.23594271105,10.63349536727
S1,mid,2050,NC,214.0228060138,166.5066397749,0,166.5066397749,47.51616623887,77.79855001256,0
S1,mid,2050,NE,76.8000720313,76.8000720313,0,76.8000720313,0,100,0
S1,mid,2050,NW,0,0,0,0,0,0,0
S1,mid,2050,SC,284.2717045431,99.08004922996,0,99.08004922996,185.1916553132,34.85399624602,0
S1,mid,2050,SW,0,0,0,0,0,0,0
S1,mid,2055,CC,0,0,0,0,0,0,0
S1,mid,2055,EC,832.3938807953,280.7122174288,103.194,383.9062174288,448.4876633664,46.12073998694,26.88000228054
S1,mid,2055,NC,276.8968682283,211.5533107561,0,211.5533107561,65.34355747218,76.40148193431,0
S1,mid,2055,NE,99.36183821363,99.36183821363,0,99.36183821363,0,100,0
S1,mid,2055,NW,0,0,0,0,0,0,0
S1,mid,2055,SC,367.7829768702,116.7877351021,0,116.7877351021,250.9952417681,31.75452439261,0
S1,mid,2055,SW,0,0,0,0,0,0,0
S1,mid,2060,CC,0,0,0,0,0,0,0
S1,mid,2060,EC,1045.485094031,289.3523149224,191.843,481.1953149224,564.2897791086,46.02603305104,39.86801077457
S1,mid,2060,NC,347.7819275172,261.9946086502,0,261.9946086502,85.78731886698,75.33301414498,0
S1,mid,2060,NE,124.7982753893,124.7982753893,0,124.7982753893,0,100,0
S1,mid,2060,NW,0,0,0,0,0,0,0
S1,mid,2060,SC,461.9347030625,135.2562273029,0,135.2562273029,326.6784757596,29.2803780288,0
S1,mid,2060,SW,0,0,0,0,0,0,0
S2,high,2025,CC,16.94220823758,16.94220823758,0,16.94220823758,0,100,0
S2,high,2025,EC,28.78853740198,19.37614226463,0,19.37614226463,9.412395137356,67.30505962867,0
S2,high,2025,NC,9.396930449916,5.589605658359,0,5.589605658359,3.807324791557,59.48331413274,0
S2,high,2025,NE,0.4389710385447,0.4389710385447,0,0.4389710385447,0,100,0
S2,high,2025,NW,2.133464476164,2.133464476164,0,2.133464476164,0,100,0
S2,high,2025,SC,13.40672731203,11.11085862116,0,11.11085862116,2.295868690869,82.87524884012,0
S2,high,2025,SW,8.893161083786,8.893161083786,0,8.893161083786,0,100,0
S2,high,2030,CC,84.71104118789,84.71104118789,0,84.71104118789,0,100,0
S2,high,2030,EC,143.9426870099,90.5073916881,4.632,95.1393916881,48.8032953218,66.09532840078,4.868645802556
S2,high,2030,NC,46.98465224958,27.63784001341,0,27.63784001341,19.34681223618,58.82312348848,0
S2,high,2030,NE,2.194855192724,2.194855192724,0,2.194855192724,0,100,0
S2,high,2030,NW,10.66732238082,10.66732238082,0,10.66732238082,0,100,0
S2,high,2030,SC,67.03363656014,41.62969139525,0,41.62969139525,25.40394516489,62.1026898308,0
S2,high,2030,SW,44.46580541894,44.46580541894,0,44.46580541894,0,100,0
S2,high,2035,CC,181.6738237132,181.6738237132,0,181.6738237132,0,100,0
S2,high,2035,EC,308.7037767207,150.6214224266,46.021,196.6424224266,112.0613542941,63.69938991855,23.40339354656
S2,high,2035,NC,100.7646855749,58.95022290165,0,58.95022290165,41.81446267324,58.50285997056,0
S2,high,2035,NE,4.707151863174,4.707151863174,0,4.707151863174,0,100,0
S2,high,2035,NW,22.87745751356,22.87745751356,0,22.87745751356,0,100,0
