scenario,tier,year,province_key,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt
S1,high,2035,四川,0.0,24.94946651348361,0.0,0.0,0.0,0.0
S1,high,2035,天津,39.92107012548824,14.83167667758928,14.83167667758928,0.0,14.83167667758928,25.089393447898964
S1,high,2035,宁夏,0.0,221.9742868490062,0.0,0.0,0.0,0.0
S1,high,2035,安徽,0.0,27.28834738149529,0.0,0.0,0.0,0.0
S1,high,2035,山东,147.06067238124302,179.3980181490745,147.06067238124302,0.0,147.06067238124302,0.0
S1,high,2035,山西,0.0,184.68119230472547,0.0,0.0,0.0,0.0
S1,high,2035,广东,133.38409024982624,28.76625265731178,28.76625265731178,0.0,28.76625265731178,104.61783759251446
S1,high,2035,广西,32.58447873922549,81.60654442440185,32.58447873922549,0.0,32.58447873922549,0.0
S1,high,2035,新疆,0.0,1025.2238757032776,0.0,0.0,0.0,0.0
S1,high,2035,江苏,40.7700262271734,50.81244787465439,40.7700262271734,0.0,40.7700262271734,0.0
S1,high,2035,江西,0.0,36.08530771582594,0.0,0.0,0.0,0.0
S1,high,2035,河北,97.21856031803785,487.4379338881149,97.21856031803785,0.0,97.21856031803785,0.0
S1,high,2035,河南,0.0,110.05220437364449,0.0,0.0,0.0,0.0
S1,high,2035,浙江,119.22497891911178,3.4260047149002903,3.4260047149002903,0.0,3.4260047149002903,115.79897420421149
S1,high,2035,海南,16.184525966987888,13.24684368892658,13.24684368892658,0.0,13.24684368892658,2.937682278061308
S1,high,2035,湖北,0.0,61.72655582619202,0.0,0.0,0.0,0.0
S1,high,2035,湖南,0.0,80.35612341052071,0.0,0.0,0.0,0.0
S1,high,2035,甘肃,0.0,382.2229213554739,0.0,0.0,0.0,0.0
S1,high,2035,福建,50.74408597677424,0.0,0.0,0.0,0.0,50.74408597677424
S1,high,2035,西藏,0.0,73.75838251997754,0.0,0.0,0.0,0.0
S1,high,2035,贵州,0.0,59.21472967142896,0.0,0.0,0.0,0.0
S1,high,2035,辽宁,49.211267212941095,139.7039467858256,49.211267212941095,0.0,49.211267212941095,0.0
S1,high,2035,陕西,0.0,160.91870901527344,0.0,0.0,0.0,0.0
S1,high,2035,青海,0.0,513.391316889399,0.0,0.0,0.0,0.0
S1,high,2035,黑龙江,0.0,115.94096082925924,0.0,0.0,0.0,0.0
S1,high,2040,上海,86.2776553641276,0.0,0.0,0.0,0.0,86.2776553641276
S1,high,2040,云南,0.0,296.2227766589483,0.0,0.0,0.0,0.0
S1,high,2040,内蒙古,0.0,1367.491403567077,0.0,0.0,0.0,0.0
S1,high,2040,北京,0.0,0.83387360289578,0.0,0.0,0.0,0.0
S1,high,2040,四川,0.0,30.80427679114436,0.0,0.0,0.0,0.0
S1,high,2040,天津,63.24136297284303,17.76492844428505,17.76492844428505,0.0,17.76492844428505,45.476434528557974
S1,high,2040,宁夏,0.0,263.98949679745266,0.0,0.0,0.0,0.0
S1,high,2040,安徽,0.0,32.86002372290356,0.0,0.0,0.0,0.0
S1,high,2040,山东,232.9676366855358,226.5896400961364,226.5896400961364,6.377,232.96664009613642,0.0009965893993921782
S1,high,2040,山西,0.0,239.4339179385381,0.0,0.0,0.0,0.0
S1,high,2040,广东,211.30174215710724,37.53930069684038,37.53930069684038,0.0,37.53930069684038,173.76244146026687
S1,high,2040,广西,51.61902826629307,104.26386070856236,51.61902826629307,0.0,51.61902826629307,0.0
S1,high,2040,新疆,0.0,1238.74553536608,0.0,0.0,0.0,0.0
S1,high,2040,江苏,64.58624528200744,66.2015905046787,64.58624528200744,0.0,64.58624528200744,0.0
S1,high,2040,江西,0.0,46.43085425480712,0.0,0.0,0.0,0.0
S1,high,2040,河北,154.0097557867024,615.3962940735802,154.0097557867024,0.0,154.0097557867024,0.0
S1,high,2040,河南,0.0,145.656157243648,0.0,0.0,0.0,0.0
S1,high,2040,浙江,188.87144416599955,4.59792077861736,4.59792077861736,0.0,4.59792077861736,184.2735233873822
S1,high,2040,海南,25.63887886783361,16.16358741115701,16.16358741115701,0.0,16.16358741115701,9.4752914566766
S1,high,2040,湖北,0.0,73.14115686549825,0.0,0.0,0.0,0.0
S1,high,2040,湖南,0.0,105.45819956149654,0.0,0.0,0.0,0.0
S1,high,2040,甘肃,0.0,466.01076128201146,0.0,0.0,0.0,0.0
S1,high,2040,福建,80.3867519055662,0.0,0.0,0.0,0.0,80.3867519055662
S1,high,2040,西藏,0.0,85.81122762457207,0.0,0.0,0.0,0.0
S1,high,2040,贵州,0.0,68.48023978519532,0.0,0.0,0.0,0.0
S1,high,2040,辽宁,77.95852171257681,183.7646872735308,77.95852171257681,0.0,77.95852171257681,0.0
S1,high,2040,陕西,0.0,192.51210061757263,0.0,0.0,0.0,0.0
S1,high,2040,青海,0.0,594.3378207528683,0.0,0.0,0.0,0.0
S1,high,2040,黑龙江,0.0,150.2466852331038,0.0,0.0,0.0,0.0
S1,high,2045,上海,122.2440992205697,0.0,0.0,0.0,0.0,122.2440992205697
S1,high,2045,云南,0.0,339.6615602179883,0.0,0.0,0.0,0.0
S1,high,2045,内蒙古,0.0,1665.712879266918,0.0,0.0,0.0,0.0
S1,high,2045,北京,0.0,1.03119265309952,0.0,0.0,0.0,0.0
S1,high,2045,四川,0.0,36.6590870688051,0.0,0.0,0.0,0.0
S1,high,2045,天津,89.60470028385382,20.69818021098081,20.69818021098081,0.0,20.69818021098081,68.90652007287301
S1,high,2045,宁夏,0.0,306.00470674589906,0.0,0.0,0.0,0.0
S1,high,2045,安徽,0.0,38.43170006431183,0.0,0.0,0.0,0.0
S1,high,2045,山东,330.0845250601142,273.7812620431983,273.7812620431983,56.303,330.0842620431983,0.0002630169158805984
S1,high,2045,山西,0.0,294.1866435723508,0.0,0.0,0.0,0.0
S1,high,2045,广东,299.3867998002224,46.31234873636896,46.31234873636896,0.0,46.31234873636896,253.07445106385342
S1,high,2045,广西,73.13737938777757,126.92117699272292,73.13737938777757,0.0,73.13737938777757,0.0
S1,high,2045,新疆,0.0,1452.2671950288825,0.0,0.0,0.0,0.0
S1,high,2045,江苏,91.510221774298,81.590733134703,81.590733134703,9.919,91.509733134703,0.0004886395950052247
S1,high,2045,江西,0.0,56.7764007937883,0.0,0.0,0.0,0.0
S1,high,2045,河北,218.21158430729827,743.3546542590456,218.21158430729827,0.0,218.21158430729827,0.0
S1,high,2045,河南,0.0,181.2601101136516,0.0,0.0,0.0,0.0
S1,high,2045,浙江,267.6060152900308,5.7698368423344295,5.7698368423344295,0.0,5.7698368423344295,261.8361784476964
S1,high,2045,海南,36.32692194747278,19.08033113338743,19.08033113338743,0.0,19.08033113338743,17.246590814085355
S1,high,2045,湖北,0.0,84.55575790480445,0.0,0.0,0.0,0.0
S1,high,2045,湖南,0.0,130.56027571247236,0.0,0.0,0.0,0.0
S1,high,2045,甘肃,0.0,549.798601208549,0.0,0.0,0.0,0.0
S1,high,2045,福建,113.8974631900942,0.0,0.0,0.0,0.0,113.8974631900942
S1,high,2045,西藏,0.0,97.86407272916658,0.0,0.0,0.0,0.0
S1,high,2045,贵州,0.0,77.74574989896169,0.0,0.0,0.0,0.0
S1,high,2045,辽宁,110.4569801196004,227.825427761236,110.4569801196004,0.0,110.4569801196004,0.0
S1,high,2045,陕西,0.0,224.1054922198718,0.0,0.0,0.0,0.0
S1,high,2045,青海,0.0,675.2843246163376,0.0,0.0,0.0,0.0
S1,high,2045,黑龙江,0.0,184.5524096369483,0.0,0.0,0.0,0.0
S1,high,2050,上海,160.55434340974776,0.0,0.0,0.0,0.0,160.55434340974776
S1,high,2050,云南,0.0,383.1003437770283,0.0,0.0,0.0,0.0
S1,high,2050,内蒙古,0.0,1963.93435496676,0.0,0.0,0.0,0.0
S1,high,2050,北京,0.0,1.22851170330325,0.0,0.0,0.0,0.0
S1,high,2050,四川,0.0,42.51389734646584,0.0,0.0,0.0,0.0
S1,high,2050,天津,117.68603893545334,23.63143197767658,23.63143197767658,0.0,23.63143197767658,94.05460695777676
S1,high,2050,宁夏,0.0,348.0199166943455,0.0,0.0,0.0,0.0
S1,high,2050,安徽,0.0,44.0033764057201,0.0,0.0,0.0,0.0
S1,high,2050,山东,433.530162426257,320.9728839902602,320.9728839902602,112.557,433.5298839902602,0.0002784359967904493
S1,high,2050,山西,0.0,348.93936920616346,0.0,0.0,0.0,0.0
S1,high,2050,广东,393.21203537799926,55.08539677589756,55.08539677589756,0.0,55.08539677589756,338.1266386021017
S1,high,2050,广西,96.0580019909735,149.57849327688345,96.0580019909735,0.0,96.0580019909735,0.0
S1,high,2050,新疆,0.0,1665.7888546916845,0.0,0.0,0.0,0.0
S1,high,2050,江苏,120.18873439234744,96.9798757647273,96.9798757647273,23.208,120.1878757647273,0.00085862762014699
S1,high,2050,江西,0.0,67.12194733276947,0.0,0.0,0.0,0.0
S1,high,2050,河北,286.5972089143087,871.3130144445106,286.5972089143087,0.0,286.5972089143087,0.0
S1,high,2050,河南,0.0,216.86406298365503,0.0,0.0,0.0,0.0
S1,high,2050,浙江,351.471427670843,6.9417529060515,6.9417529060515,0.0,6.9417529060515,344.52967476479154
S1,high,2050,海南,47.7114653268453,21.99707485561786,21.99707485561786,0.0,21.99707485561786,25.71439047122744
S1,high,2050,湖北,0.0,95.97035894411069,0.0,0.0,0.0,0.0
S1,high,2050,湖南,0.0,155.66235186344824,0.0,0.0,0.0,0.0
S1,high,2050,甘肃,0.0,633.5864411350865,0.0,0.0,0.0,0.0
S1,high,2050,福建,149.59194378393704,0.0,0.0,0.0,0.0,149.59194378393704
S1,high,2050,西藏,0.0,109.91691783376108,0.0,0.0,0.0,0.0
S1,high,2050,贵州,0.0,87.01126001272806,0.0,0.0,0.0,0.0
S1,high,2050,辽宁,145.07324305386098,271.8861682489411,145.07324305386098,0.0,145.07324305386098,0.0
S1,high,2050,陕西,0.0,255.69888382217096,0.0,0.0,0.0,0.0
S1,high,2050,青海,0.0,756.2308284798066,0.0,0.0,0.0,0.0
S1,high,2050,黑龙江,0.0,218.8581340407928,0.0,0.0,0.0,0.0
S1,high,2055,上海,198.11086843231584,0.0,0.0,0.0,0.0,198.11086843231584
S1,high,2055,云南,0.0,426.5391273360684,0.0,0.0,0.0,0.0
S1,high,2055,内蒙古,0.0,2262.155830666601,0.0,0.0,0.0,0.0
S1,high,2055,北京,0.0,1.4258307535069898,0.0,0.0,0.0,0.0
S1,high,2055,四川,0.0,48.368707624126586,0.0,0.0,0.0,0.0
S1,high,2055,天津,145.21490282178485,26.564683744372356,26.564683744372356,0.0,26.564683744372356,118.65021907741249
S1,high,2055,宁夏,0.0,390.035126642792,0.0,0.0,0.0,0.0
S1,high,2055,安徽,0.0,49.57505274712838,0.0,0.0,0.0,0.0
S1,high,2055,山东,534.940601081579,368.1645059373221,368.1645059373221,166.776,534.9405059373221,9.514425687484618e-05
S1,high,2055,山西,0.0,403.6920948399761,0.0,0.0,0.0,0.0
S1,high,2055,广东,485.1913448891748,63.85844481542614,63.85844481542614,0.0,63.85844481542614,421.33290007374865
S1,high,2055,广西,118.52768221746844,172.235809561044,118.52768221746844,0.0,118.52768221746844,0.0
