scenario,tier,year,sector,composition_share,component_demand_10kt,scenario_semantics
S2,high,2055,B,1,3775.37990818,single-sector dynamic demand
S2,high,2055,C,0,0,single-sector dynamic demand
S2,high,2055,D,0,0,single-sector dynamic demand
S2,high,2060,A,0,0,single-sector dynamic demand
S2,high,2060,B,1,4800,single-sector dynamic demand
S2,high,2060,C,0,0,single-sector dynamic demand
S2,high,2060,D,0,0,single-sector dynamic demand
S2,low,2025,A,0,0,single-sector dynamic demand
S2,low,2025,B,1,8,single-sector dynamic demand
S2,low,2025,C,0,0,single-sector dynamic demand
S2,low,2025,D,0,0,single-sector dynamic demand
S2,low,2030,A,0,0,single-sector dynamic demand
S2,low,2030,B,1,80,single-sector dynamic demand
S2,low,2030,C,0,0,single-sector dynamic demand
S2,low,2030,D,0,0,single-sector dynamic demand
S2,low,2035,A,0,0,single-sector dynamic demand
S2,low,2035,B,1,204.5657984459,single-sector dynamic demand
S2,low,2035,C,0,0,single-sector dynamic demand
S2,low,2035,D,0,0,single-sector dynamic demand
S2,low,2040,A,0,0,single-sector dynamic demand
S2,low,2040,B,1,380.3966029631,single-sector dynamic demand
S2,low,2040,C,0,0,single-sector dynamic demand
S2,low,2040,D,0,0,single-sector dynamic demand
S2,low,2045,A,0,0,single-sector dynamic demand
S2,low,2045,B,1,607.6739194644,single-sector dynamic demand
S2,low,2045,C,0,0,single-sector dynamic demand
S2,low,2045,D,0,0,single-sector dynamic demand
S2,low,2050,A,0,0,single-sector dynamic demand
S2,low,2050,B,1,886.5792538625,single-sector dynamic demand
S2,low,2050,C,0,0,single-sector dynamic demand
S2,low,2050,D,0,0,single-sector dynamic demand
S2,low,2055,A,0,0,single-sector dynamic demand
S2,low,2055,B,1,1217.29411207,single-sector dynamic demand
S2,low,2055,C,0,0,single-sector dynamic demand
S2,low,2055,D,0,0,single-sector dynamic demand
S2,low,2060,A,0,0,single-sector dynamic demand
S2,low,2060,B,1,1600,single-sector dynamic demand
S2,low,2060,C,0,0,single-sector dynamic demand
S2,low,2060,D,0,0,single-sector dynamic demand
