scenario,tier,year,demand_10kt,scenario_semantics
S5,low,2045,426.3285136328,exact sum of S1-S4; no second weighting
S5,low,2050,619.9040761419,exact sum of S1-S4; no second weighting
S5,low,2055,853.6060659087,exact sum of S1-S4; no second weighting
S5,low,2060,1133.294849023,exact sum of S1-S4; no second weighting
S5,mid,2025,32.78470254958,exact sum of S1-S4; no second weighting
S5,mid,2030,191.3553719008,exact sum of S1-S4; no second weighting
S5,mid,2035,405.6685495027,exact sum of S1-S4; no second weighting
S5,mid,2040,670.5899327797,exact sum of S1-S4; no second weighting
S5,mid,2045,986.7842629689,exact sum of S1-S4; no second weighting
S5,mid,2050,1354.551750004,exact sum of S1-S4; no second weighting
S5,mid,2055,1776.954079197,exact sum of S1-S4; no second weighting
S5,mid,2060,2262.634482759,exact sum of S1-S4; no second weighting
S6,high,2025,52.114,fixed composition at S5 total
S6,high,2030,376.49,fixed composition at S5 total
S6,high,2035,777.6150354543,fixed composition at S5 total
S6,high,2040,1248.347590529,fixed composition at S5 total
S6,high,2045,1784.560415152,fixed composition at S5 total
S6,high,2050,2380.098943922,fixed composition at S5 total
S6,high,2055,3026.077336564,fixed composition at S5 total
S6,high,2060,3710.1,fixed composition at S5 total
S6,low,2025,5.122,fixed composition at S5 total
S6,low,2030,62.53,fixed composition at S5 total
S6,low,2035,149.8899365435,fixed composition at S5 total
S6,low,2040,267.2104233788,fixed composition at S5 total
S6,low,2045,412.9839534348,fixed composition at S5 total
S6,low,2050,585.3695351212,fixed composition at S5 total
S6,low,2055,782.4173273088,fixed composition at S5 total
S6,low,2060,1002.35,fixed composition at S5 total
S6,mid,2025,25.16,fixed composition at S5 total
S6,mid,2030,201.36,fixed composition at S5 total
S6,mid,2035,432.1015602506,fixed composition at S5 total
S6,mid,2040,713.1023872235,fixed composition at S5 total
S6,mid,2045,1041.54635783,fixed composition at S5 total
S6,mid,2050,1413.951042001,fixed composition at S5 total
S6,mid,2055,1826.572616623,fixed composition at S5 total
S6,mid,2060,2275.9,fixed composition at S5 total
S7,high,2025,43.71,fixed composition at S5 total
S7,high,2030,377.85,fixed composition at S5 total
S7,high,2035,764.507734825,fixed composition at S5 total
S7,high,2040,1208.039130906,fixed composition at S5 total
S7,high,2045,1701.826400662,fixed composition at S5 total
S7,high,2050,2235.367787192,fixed composition at S5 total
S7,high,2055,2793.000730408,fixed composition at S5 total
S7,high,2060,3352.5,fixed composition at S5 total
S7,low,2025,4.38,fixed composition at S5 total
S7,low,2030,56.85,fixed composition at S5 total
S7,low,2035,129.503925101,fixed composition at S5 total
S7,low,2040,223.0169614804,fixed composition at S5 total
S7,low,2045,336.0122418467,fixed composition at S5 total
S7,low,2050,466.8002571718,fixed composition at S5 total
S7,low,2055,613.5894519846,fixed composition at S5 total
S7,low,2060,774.75,fixed composition at S5 total
S7,mid,2025,20.55,fixed composition at S5 total
S7,mid,2030,190.8,fixed composition at S5 total
S7,mid,2035,397.240363373,fixed composition at S5 total
S7,mid,2040,642.6441022673,fixed composition at S5 total
S7,mid,2045,923.9420088688,fixed composition at S5 total
