scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S1,mid,2060,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2060,EC,1045.4850940309939,289.35231492233885,191.843,481.1953149223388,564.2897791086552,46.02603305103397,39.86801077457746
S1,mid,2060,NC,347.7819275171848,261.99460865017085,0.0,261.99460865017085,85.78731886701391,75.3330141449702,0.0
S1,mid,2060,NE,124.7982753893138,124.7982753893138,0.0,124.7982753893138,0.0,100.0,0.0
S1,mid,2060,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2060,SC,461.9347030625076,135.25622730290496,0.0,135.25622730290496,326.67847575960263,29.280378028797394,0.0
S1,mid,2060,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,mid,2060,CC,677.6883295030844,320.9580177633168,356.728,677.6860177633167,0.0023117397677196,99.99965887862207,52.63912647591145
S2,mid,2060,EC,1151.5414960792689,269.80142243920716,364.48699999999997,634.2884224392071,517.2530736400618,55.08168178036239,57.46392131805526
S2,mid,2060,NC,375.8772179966752,189.7273561602501,0.0,189.7273561602501,186.14986183642512,50.47588602774227,0.0
S2,mid,2060,NE,17.55884154178915,17.55884154178915,0.0,17.55884154178915,0.0,100.0,0.0
S2,mid,2060,NW,85.3385790465857,85.3385790465857,0.0,85.3385790465857,0.0,100.0,0.0
S2,mid,2060,SC,536.2690924811086,140.13194312865522,0.0,140.13194312865522,396.1371493524534,26.130900529866302,0.0
S2,mid,2060,SW,355.726443351488,269.3014161422916,17.523,286.82441614229157,68.9020272091964,80.63061419892381,6.109312531924396
S3,mid,2060,CC,65.31043632619779,65.31043632619779,0.0,65.31043632619779,0.0,100.0,0.0
S3,mid,2060,EC,165.9497994042601,52.20811402661052,0.0,52.20811402661052,113.74168537764956,31.46018507646975,0.0
S3,mid,2060,NC,86.73108156174132,23.429131942271738,0.0,23.429131942271738,63.30194961946958,27.01353600161578,0.0
S3,mid,2060,NE,86.35103429088186,86.35103429088186,0.0,86.35103429088186,0.0,100.0,0.0
S3,mid,2060,NW,99.41393221094683,99.41393221094683,0.0,99.41393221094683,0.0,100.0,0.0
S3,mid,2060,SC,170.88337804135713,38.04506768592877,0.0,38.04506768592877,132.83831035542835,22.2637614740511,0.0
S3,mid,2060,SW,135.36033816461511,28.40279509141248,106.957,135.35979509141248,0.0005430732026354,99.99959879444009,79.01681583351154
S4,mid,2060,CC,223.2216108054027,218.36641052261047,4.855,223.22141052261048,0.0002002827922211,99.9999102762535,2.174970576806847
S4,mid,2060,EC,482.3711855927963,191.9611544723443,103.792,295.7531544723443,186.618031120452,61.312359300418606,35.09413118016482
S4,mid,2060,NC,105.38269134567282,85.33603813779922,0.0,85.33603813779922,20.04665320787361,80.97728103933385,0.0
S4,mid,2060,NE,13.506753376688343,13.506753376688343,0.0,13.506753376688343,0.0,100.0,0.0
