panel,record_type,scenario,tier,year,metric,value,unit,source_boundary,variant
a,trajectory,S6,mid,2060,served_share_pct,46.10928617637455,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S7,mid,2025,served_share_pct,83.11866156733144,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S7,mid,2030,served_share_pct,65.53655360584567,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S7,mid,2035,served_share_pct,61.56332739601802,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S7,mid,2040,served_share_pct,59.553467215103176,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S7,mid,2045,served_share_pct,53.93545768981922,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S7,mid,2050,served_share_pct,49.18702529774659,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S7,mid,2055,served_share_pct,45.8417901854737,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S7,mid,2060,served_share_pct,42.84033611989062,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S8,mid,2025,served_share_pct,84.11181619601149,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S8,mid,2030,served_share_pct,67.00717158567173,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S8,mid,2035,served_share_pct,63.00479336632059,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S8,mid,2040,served_share_pct,60.72934252537648,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S8,mid,2045,served_share_pct,55.20596587606096,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S8,mid,2050,served_share_pct,50.466753061481306,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S8,mid,2055,served_share_pct,47.12843506831396,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
