scenario,year,distance_km,pipeline_tonne_km,delivered_tonnes
S1,2060,185.866615690366,356574693.671489,1918444
S2,2060,507.310000541751,4620692615.06439,9108223
S3,2060,438.00784850052,1013622432.72521,2314165
S4,2060,161.895572867738,206498936.461809,1275507
S5,2060,1325.31318652816,13368903273.3775,10087354
S6,2060,1380.44465426938,16888252225.6486,12233922
S7,2060,1179.61143204777,11331391061.8739,9606037
S8,2060,1248.49857609168,13160262434.2661,10540871
