node_id,node_name,province,longitude,latitude,weak_component_2025,weak_component_size_2025,active_indegree_2025,active_outdegree_2025
N097,潍坊,山东省,119.1535384,36.70714657,1,65,1,1
N098,濮阳,河南省,115.0236155,35.76426442,1,65,1,1
N099,灵昆,浙江省,120.6794261,28.01154027,3,11,1,1
N100,独山子,新疆维吾尔自治区,84.88680126,45.57908248,1,65,0,2
N101,玉溪,云南省,102.5258923,24.35033692,2,19,1,1
N102,王家沟,新疆维吾尔自治区,87.61399479,43.82418589,1,65,2,0
N103,珠海,广东省,113.5728911,22.2745396,13,2,1,0
N104,瑞安,浙江省,120.6794261,28.01154027,3,11,1,0
N105,盐城(盐城,江苏省,120.1563009,33.34840987,8,4,1,0
N106,石家庄,河北省,114.5089353,38.04183339,1,65,1,1
N107,石湖山,福建省,118.0810222,24.48114183,6,4,1,0
N108,秋田冲,云南省,102.7432509,25.08100417,20,2,0,1
N109,简阳,四川省,104.0385743,30.69284828,2,19,1,0
N110,算山,浙江省,121.6219554,29.8607673,3,11,0,2
N111,绍兴,浙江省,120.5800044,30.05145821,22,2,0,1
N112,耒阳,湖南省,112.5664064,26.89725267,23,2,0,1
N113,聊城,山东省,115.9801841,36.45418762,1,65,1,1
N114,肥城,山东省,117.0815513,36.20000913,1,65,1,1
N115,花都,广东省,113.2578297,23.1332448,11,2,1,0
N116,苏州(苏州,江苏省,120.581097,31.3019128,7,4,2,0
N117,茂名,广东省,110.9216638,21.66642469,2,19,0,2
N118,荆州,湖北省,112.2348628,30.33970576,10,3,1,0
N119,荆门,湖北省,112.1931881,31.03762742,10,3,0,2
N120,萧山,浙江省,120.2048484,30.24977957,22,2,1,0
N121,蒙自,云南省,103.3740373,23.36579148,2,19,1,0
N122,蚌埠,安徽省,117.379653,32.91909899,4,5,1,0
N123,衡阳,湖南省,112.5664064,26.89725267,1,65,1,0
N124,襄阳,湖北省,112.1159833,32.01139396,10,3,1,0
N125,许昌,河南省,113.8418998,34.03900016,1,65,1,1
N126,诸暨,浙江省,120.5800044,30.05145821,21,2,0,1
N127,贵阳,贵州省,106.6930042,26.73530793,2,19,1,2
N128,赣州,江西省,114.9288134,25.83432314,3,11,1,0
