candidate_id,from_node_id,to_node_id,distance_km,capacity_10kt,candidate_types,from_name,to_name,from_province,to_province,from_component,to_component
C0588,N068,N072,279.329,364.35,closest_component_bridge_le_800km;nearest_3_le_350km,柳园,格尔木,甘肃省,青海省,1,19
C0589,N072,N068,279.329,364.35,closest_component_bridge_le_800km;nearest_3_le_350km,格尔木,柳园,青海省,甘肃省,19,1
C0590,N072,N136,279.329,364.35,nearest_3_le_350km,格尔木,酒泉,青海省,甘肃省,19,1
C0591,N136,N072,279.329,364.35,nearest_3_le_350km,酒泉,格尔木,甘肃省,青海省,1,19
C0592,N153,N110,285.527,364.35,reverse_existing_direction,龙游,算山,浙江省,浙江省,3,3
C0593,N039,N075,286.029,364.35,closest_component_bridge_le_800km,大鹏湾,梅州,广东省,广东省,16,26
C0594,N075,N039,286.029,364.35,closest_component_bridge_le_800km,梅州,大鹏湾,广东省,广东省,26,16
C0595,N009,N015,290.721,364.35,nearest_3_le_350km,乌鲁木齐,克拉玛依,新疆维吾尔自治区,新疆维吾尔自治区,1,1
C0596,N015,N009,290.721,364.35,nearest_3_le_350km,克拉玛依,乌鲁木齐,新疆维吾尔自治区,新疆维吾尔自治区,1,1
C0597,N100,N009,290.721,364.35,nearest_3_le_350km,独山子,乌鲁木齐,新疆维吾尔自治区,新疆维吾尔自治区,1,1
C0598,N102,N015,290.721,364.35,nearest_3_le_350km;reverse_existing_direction,王家沟,克拉玛依,新疆维吾尔自治区,新疆维吾尔自治区,1,1
C0599,N102,N100,290.721,364.35,reverse_existing_direction,王家沟,独山子,新疆维吾尔自治区,新疆维吾尔自治区,1,1
C0600,N144,N078,294.489,364.35,reverse_existing_direction,长沙,武汉,湖南省,湖北省,1,1
C0601,N026,N134,294.615,364.35,closest_component_bridge_le_800km,南沙,郴州,广东省,湖南省,5,23
C0602,N115,N134,294.615,364.35,closest_component_bridge_le_800km,花都,郴州,广东省,湖南省,11,23
C0603,N134,N026,294.615,364.35,closest_component_bridge_le_800km,郴州,南沙,湖南省,广东省,23,5
C0604,N134,N115,294.615,364.35,closest_component_bridge_le_800km,郴州,花都,湖南省,广东省,23,11
C0605,N022,N145,294.674,364.35,closest_component_bridge_le_800km,南京(南京,阜阳,江苏省,安徽省,7,12
C0606,N145,N022,294.674,364.35,closest_component_bridge_le_800km,阜阳,南京(南京,安徽省,江苏省,12,7
C0607,N017,N050,296.399,364.35,closest_component_bridge_le_800km,六安,广水,安徽省,湖北省,4,18
C0608,N050,N017,296.399,364.35,closest_component_bridge_le_800km,广水,六安,湖北省,安徽省,18,4
C0609,N004,N074,296.521,364.35,closest_component_bridge_le_800km,上饶,桐庐,江西省,浙江省,24,21
C0610,N004,N120,296.521,364.35,closest_component_bridge_le_800km,上饶,萧山,江西省,浙江省,24,22
C0611,N074,N004,296.521,364.35,closest_component_bridge_le_800km,桐庐,上饶,浙江省,江西省,21,24
C0612,N120,N004,296.521,364.35,closest_component_bridge_le_800km,萧山,上饶,浙江省,江西省,22,24
C0613,N004,N019,296.637,364.35,closest_component_bridge_le_800km,上饶,兴闽,江西省,福建省,24,6
C0614,N019,N004,296.637,364.35,closest_component_bridge_le_800km,兴闽,上饶,福建省,江西省,6,24
C0615,N045,N074,298.752,364.35,closest_component_bridge_le_800km,安庆,桐庐,安徽省,浙江省,4,21
C0616,N045,N120,298.752,364.35,closest_component_bridge_le_800km,安庆,萧山,安徽省,浙江省,4,22
C0617,N074,N045,298.752,364.35,closest_component_bridge_le_800km,桐庐,安庆,浙江省,安徽省,21,4
C0618,N120,N045,298.752,364.35,closest_component_bridge_le_800km,萧山,安庆,浙江省,安徽省,22,4
C0619,N031,N058,303.792,364.35,nearest_3_le_350km,吉林,抚顺,吉林省,辽宁省,15,1
C0620,N056,N128,306.901,364.35,closest_component_bridge_le_800km,惠州,赣州,广东省,江西省,5,3
C0621,N128,N056,306.901,364.35,closest_component_bridge_le_800km,赣州,惠州,江西省,广东省,3,5
C0622,N040,N135,307.942,364.35,closest_component_bridge_le_800km,太原,鄂尔多斯,山西省,内蒙古自治区,1,9
C0623,N135,N040,307.942,364.35,closest_component_bridge_le_800km,鄂尔多斯,太原,内蒙古自治区,山西省,9,1
C0624,N080,N127,315.151,364.35,nearest_3_le_350km,江津,贵阳,重庆市,贵州省,1,2
C0625,N127,N080,315.151,364.35,nearest_3_le_350km,贵阳,江津,贵州省,重庆市,2,1
C0626,N127,N137,315.151,364.35,nearest_3_le_350km,贵阳,重庆,贵州省,重庆市,2,1
C0627,N075,N115,318.188,364.35,closest_component_bridge_le_800km,梅州,花都,广东省,广东省,26,11
C0628,N115,N075,318.188,364.35,closest_component_bridge_le_800km,花都,梅州,广东省,广东省,11,26
C0629,N052,N072,319.548,364.35,nearest_3_le_350km,张掖,格尔木,甘肃省,青海省,1,19
C0630,N072,N052,319.548,364.35,nearest_3_le_350km,格尔木,张掖,青海省,甘肃省,19,1
C0631,N077,N139,320.092,364.35,closest_component_bridge_le_800km;nearest_3_le_350km,武威,银川,甘肃省,宁夏回族自治区,1,17
C0632,N139,N077,320.092,364.35,closest_component_bridge_le_800km;nearest_3_le_350km,银川,武威,宁夏回族自治区,甘肃省,17,1
C0633,N066,N127,320.914,364.35,reverse_existing_direction,曲靖,贵阳,云南省,贵州省,2,2
C0634,N139,N135,330.605,364.35,nearest_3_le_350km,银川,鄂尔多斯,宁夏回族自治区,内蒙古自治区,17,9
C0635,N130,N143,330.814,364.35,nearest_3_le_350km,辽阳,长春,辽宁省,吉林省,1,15
C0636,N143,N130,330.814,364.35,nearest_3_le_350km,长春,辽阳,吉林省,辽宁省,15,1
C0637,N043,N087,331.031,364.35,closest_component_bridge_le_800km,宁海,泰州(泰州,浙江省,江苏省,3,8
C0638,N087,N043,331.031,364.35,closest_component_bridge_le_800km,泰州(泰州,宁海,江苏省,浙江省,8,3
C0639,N069,N117,333.236,364.35,reverse_existing_direction,柳州,茂名,广西壮族自治区,广东省,2,2
C0640,N010,N050,334.094,364.35,closest_component_bridge_le_800km,九江,广水,江西省,湖北省,3,18
C0641,N050,N010,334.094,364.35,closest_component_bridge_le_800km,广水,九江,湖北省,江西省,18,3
C0642,N032,N040,337.384,364.35,nearest_3_le_350km,呼和浩特,太原,内蒙古自治区,山西省,9,1
C0643,N033,N088,340.688,364.35,nearest_3_le_350km,咸阳,洛阳,陕西省,河南省,1,1
C0644,N004,N093,340.711,364.35,closest_component_bridge_le_800km,上饶,湖州(湖州,江西省,浙江省,24,7
C0645,N093,N004,340.711,364.35,closest_component_bridge_le_800km,湖州(湖州,上饶,浙江省,江西省,7,24
C0646,N003,N095,342.77,364.35,closest_component_bridge_le_800km,三水,湛江,广东省,广东省,11,27
C0647,N027,N095,342.77,364.35,closest_component_bridge_le_800km,南海,湛江,广东省,广东省,5,27
C0648,N095,N003,342.77,364.35,closest_component_bridge_le_800km,湛江,三水,广东省,广东省,27,11
C0649,N095,N027,342.77,364.35,closest_component_bridge_le_800km,湛江,南海,广东省,广东省,27,5
C0650,N021,N075,343.134,364.35,closest_component_bridge_le_800km,北沙,梅州,广东省,广东省,13,26
C0651,N075,N021,343.134,364.35,closest_component_bridge_le_800km,梅州,北沙,广东省,广东省,26,13
C0652,N018,N139,343.157,364.35,nearest_3_le_350km,兰州,银川,甘肃省,宁夏回族自治区,1,17
C0653,N139,N018,343.157,364.35,nearest_3_le_350km,银川,兰州,宁夏回族自治区,甘肃省,17,1
C0654,N115,N128,344.663,364.35,closest_component_bridge_le_800km,花都,赣州,广东省,江西省,11,3
C0655,N128,N115,344.663,364.35,closest_component_bridge_le_800km,赣州,花都,江西省,广东省,3,11
C0656,N021,N095,348.127,364.35,closest_component_bridge_le_800km,北沙,湛江,广东省,广东省,13,27
C0657,N095,N021,348.127,364.35,closest_component_bridge_le_800km,湛江,北沙,广东省,广东省,27,13
C0658,N076,N118,351.197,364.35,closest_component_bridge_le_800km,樟树,荆州,江西省,湖北省,3,10
C0659,N118,N076,351.197,364.35,closest_component_bridge_le_800km,荆州,樟树,湖北省,江西省,10,3
C0660,N076,N004,352.939,364.35,reverse_existing_direction,樟树,上饶,江西省,江西省,3,24
C0661,N075,N134,353.667,364.35,closest_component_bridge_le_800km,梅州,郴州,广东省,湖南省,26,23
C0662,N134,N075,353.667,364.35,closest_component_bridge_le_800km,郴州,梅州,湖南省,广东省,23,26
C0663,N010,N145,359.833,364.35,closest_component_bridge_le_800km,九江,阜阳,江西省,安徽省,3,12
C0664,N145,N010,359.833,364.35,closest_component_bridge_le_800km,阜阳,九江,安徽省,江西省,12,3
C0665,N124,N145,359.965,364.35,closest_component_bridge_le_800km,襄阳,阜阳,湖北省,安徽省,10,12
C0666,N145,N124,359.965,364.35,closest_component_bridge_le_800km,阜阳,襄阳,安徽省,湖北省,12,10
C0667,N013,N062,361.306,364.35,closest_component_bridge_le_800km,保山,昆东,云南省,云南省,25,20
C0668,N062,N013,361.306,364.35,closest_component_bridge_le_800km,昆东,保山,云南省,云南省,20,25
C0669,N075,N081,363.924,364.35,closest_component_bridge_le_800km,梅州,江门,广东省,广东省,26,2
C0670,N081,N075,363.924,364.35,closest_component_bridge_le_800km,江门,梅州,广东省,广东省,2,26
C0671,N039,N134,373.997,364.35,closest_component_bridge_le_800km,大鹏湾,郴州,广东省,湖南省,16,23
C0672,N134,N039,373.997,364.35,closest_component_bridge_le_800km,郴州,大鹏湾,湖南省,广东省,23,16
C0673,N039,N128,376.06,364.35,closest_component_bridge_le_800km,大鹏湾,赣州,广东省,江西省,16,3
C0674,N128,N039,376.06,364.35,closest_component_bridge_le_800km,赣州,大鹏湾,江西省,广东省,3,16
C0675,N127,N069,383.14,364.35,reverse_existing_direction,贵阳,柳州,贵州省,广西壮族自治区,2,2
C0676,N112,N118,384.148,364.35,closest_component_bridge_le_800km,耒阳,荆州,湖南省,湖北省,23,10
C0677,N118,N112,384.148,364.35,closest_component_bridge_le_800km,荆州,耒阳,湖北省,湖南省,10,23
C0678,N021,N134,393.206,364.35,closest_component_bridge_le_800km,北沙,郴州,广东省,湖南省,13,23
C0679,N134,N021,393.206,364.35,closest_component_bridge_le_800km,郴州,北沙,湖南省,广东省,23,13
C0680,N005,N056,403.124,364.35,closest_component_bridge_le_800km,东孚,惠州,福建省,广东省,6,5
C0681,N056,N005,403.124,364.35,closest_component_bridge_le_800km,惠州,东孚,广东省,福建省,5,6
C0682,N039,N095,404.889,364.35,closest_component_bridge_le_800km,大鹏湾,湛江,广东省,广东省,16,27
C0683,N095,N039,404.889,364.35,closest_component_bridge_le_800km,湛江,大鹏湾,广东省,广东省,27,16
C0684,N081,N128,407.671,364.35,closest_component_bridge_le_800km,江门,赣州,广东省,江西省,2,3
C0685,N128,N081,407.671,364.35,closest_component_bridge_le_800km,赣州,江门,江西省,广东省,3,2
C0686,N004,N023,408.907,364.35,closest_component_bridge_le_800km,上饶,南京(扬子,江西省,江苏省,24,8
C0687,N023,N004,408.907,364.35,closest_component_bridge_le_800km,南京(扬子,上饶,江苏省,江西省,8,24
C0688,N036,N140,414.536,364.35,reverse_existing_direction,固安,锦州,河北省,辽宁省,1,1
C0689,N017,N124,415.992,364.35,closest_component_bridge_le_800km,六安,襄阳,安徽省,湖北省,4,10
