scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S1,low,2025,NC,1.159273091723949,1.159273091723949,0.0,1.159273091723949,0.0,100.0,0.0
S1,low,2025,NE,0.4159942512977126,0.4159942512977126,0.0,0.4159942512977126,0.0,100.0,0.0
S1,low,2025,EC,3.484950313436646,2.418049003173886,0.4603,2.878349003173886,0.60660131026276,82.59368841145495,15.991806396390372
S1,low,2025,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2025,SC,1.5397823435416917,1.5397823435416917,0.0,1.5397823435416917,0.0,99.99999999999999,0.0
S1,low,2025,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2025,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2030,NC,11.592730917239491,11.592730917239491,0.0,11.592730917239491,0.0,100.0,0.0
S1,low,2030,NE,4.159942512977127,4.159942512977127,0.0,4.159942512977127,0.0,100.0,0.0
S1,low,2030,EC,34.849503134366465,17.26273548606536,4.6038,21.86653548606536,12.982967648301102,62.74561620507556,21.05408972049464
S1,low,2030,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2030,SC,15.397823435416917,15.397823435416917,0.0,15.397823435416917,0.0,100.0,0.0
S1,low,2030,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2030,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2035,NC,23.772931306636394,23.772931306636394,0.0,23.772931306636394,0.0,99.99999999999999,0.0
S1,low,2035,NE,8.530692923571339,8.530692923571339,0.0,8.530692923571339,0.0,100.0,0.0
S1,low,2035,EC,71.46502838702853,34.70368836906365,9.441,44.14468836906365,27.320340017964874,61.77103593941378,21.386491441666173
S1,low,2035,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2035,SC,31.575941977358347,26.45216412855244,0.0,26.45216412855244,5.123777848805908,83.77315915870402,0.0
S1,low,2035,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2035,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,NC,37.848699859527855,37.84869985952785,0.0,37.84869985952785,3.552713678800501e-15,99.99999999999997,0.0
S1,low,2040,NE,13.581650150476673,13.581650150476673,0.0,13.581650150476673,0.0,100.0,0.0
S1,low,2040,EC,113.77891834139103,54.953475765768886,15.0309,69.98437576576889,43.794542575622145,61.50908866595337,21.477508137397706
S1,low,2040,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,SC,50.27181272968551,38.889440485608944,0.0,38.889440485608944,11.382372244076564,77.35834133278573,0.0
S1,low,2040,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,NC,53.961029249231665,52.274430235478206,0.0,52.274430235478206,1.6865990137534546,96.87441281751038,0.0
S1,low,2045,NE,19.36340808912124,19.36340808912124,0.0,19.36340808912124,0.0,100.0,0.0
S1,low,2045,EC,162.21501830584498,77.81530131118753,21.4297,99.24500131118752,62.97001699465746,61.18114237984307,21.59272478903611
S1,low,2045,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,SC,71.6727065179643,50.56227020890162,0.0,50.56227020890162,21.11043630906267,70.54605953275745,0.0
S1,low,2045,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,NC,72.2509121490656,66.00425858492511,0.0,66.0042585849251,6.246653564140493,91.35422186608162,0.0
S1,low,2050,NE,25.92656063493312,25.92656063493312,0.0,25.92656063493312,3.552713678800501e-15,100.0,0.0
S1,low,2050,EC,217.19717358878125,103.30032979826044,28.6932,131.99352979826043,85.20364379052083,60.77129256210459,21.73833826844
S1,low,2050,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,SC,95.96589416776058,60.15875296181941,0.0,60.15875296181941,35.80714120594117,62.687638648637254,0.0
S1,low,2050,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,NC,92.85934123234742,81.08873708636598,0.0,81.08873708636598,11.77060414598144,87.32426486148583,0.0
S1,low,2055,NE,33.32170168334043,33.32170168334043,0.0,33.32170168334043,0.0,100.0,0.0
S1,low,2055,EC,279.14922949859084,131.84408264906972,36.8775,168.72158264906972,110.4276468495211,60.441357102123554,21.857014035188897
S1,low,2055,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,SC,123.33864650464025,69.70687748691495,0.0,69.70687748691495,53.6317690177253,56.516655129900776,0.0
S1,low,2055,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,NC,115.92730917239491,97.63240258566805,0.0,97.63240258566805,18.29490658672686,84.21863949285616,0.0
