scenario,source_type,optimized_plan,objective_scenario_count,objective_case_count,anchor_years,tier,first_candidate_id,first_link,first_distance_km,second_candidate_id,second_link,second_distance_km,total_length_km,link_capacity_10kt_y,unit_cost_10k_cny_per_km,investment_100m_cny,discount_rate_fraction,asset_lifetime_year,annual_om_fraction,annualized_cost_100m_cny,baseline_mean_demand_met_pct,optimized_mean_demand_met_pct,gain_pp,annualized_cost_per_gain_100m_cny_per_pp,baseline_mean_pipeline_delivery_10kt,optimized_mean_pipeline_delivery_10kt,added_pipeline_delivery_10kt,baseline_mean_pipeline_tonne_km,optimized_mean_pipeline_tonne_km,incremental_pipeline_tonne_km,added_flow_weighted_distance_km,unlock_cost_cny_per_t,saving_vs_rail_cny_per_t,saving_vs_road_cny_per_t,net_dividend_vs_rail_cny_per_t,net_dividend_vs_road_cny_per_t,length_reconciliation_abs_km,investment_reconciliation_abs_100m,annualization_reconciliation_abs_100m,gain_reconciliation_abs_pp,capacity_gain_reconciliation_abs_pp,topology_search_method,parameter_source_ids,flow_source,derivation_version,flow_source_status
S4,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0695,衡阳->南沙,424.294,C0713,宿州->桐庐,486.43,910.7239999999999,364.35,800.0,72.85792,0.05,30,0.02,6.1966706529639834,68.49137425867075,80.49431870311518,12.002944444444438,0.5162625455483227,203.16413333333333,354.4012333333333,151.2371,1582787974.0616038,3793062220.295983,2210274246.234379,1461.4629917092955,409.7321790066051,460.3608423884282,869.5704800670309,50.62866338182306,459.83830106042575,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-BASE;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S4,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0695,衡阳->南沙,424.294,C0713,宿州->桐庐,486.43,910.7239999999999,364.35,1500.0,136.6086,0.05,30,0.02,11.61875747430747,68.49137425867075,80.49431870311518,12.002944444444438,0.9679922729031052,203.16413333333333,354.4012333333333,151.2371,1582787974.0616038,3793062220.295983,2210274246.234379,1461.4629917092955,768.2478356373846,460.3608423884282,869.5704800670309,-307.8869932489564,101.32264442964629,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-HIGH;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S5,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0695,衡阳->南沙,424.294,C0325,娄底->衡阳,105.916,530.21,364.35,600.0,31.8126,0.05,30,0.02,2.7057072836348066,55.62764044326136,62.983449255286,7.355808812024634,0.3678327363826739,342.0964000000001,508.53146666666663,166.43506666666656,3159714726.369852,6257579881.942806,3097865155.572954,1861.3055635548897,162.56834198611242,586.3112525197904,1107.4768103151596,423.742910533678,944.9084683290472,0.0,0.0,0.0,0.0,0.0,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-LOW;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S5,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0695,衡阳->南沙,424.294,C0325,娄底->衡阳,105.916,530.21,364.35,800.0,42.4168,0.05,30,0.02,3.6076097115130756,55.62764044326136,62.983449255286,7.355808812024634,0.49044364851023187,342.0964000000001,508.53146666666663,166.43506666666656,3159714726.369852,6257579881.942806,3097865155.572954,1861.3055635548897,216.75778931481656,586.3112525197904,1107.4768103151596,369.5534632049738,890.719021000343,0.0,0.0,0.0,0.0,0.0,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-BASE;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S5,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0695,衡阳->南沙,424.294,C0325,娄底->衡阳,105.916,530.21,364.35,1500.0,79.5315,0.05,30,0.02,6.764268209087016,55.62764044326136,62.983449255286,7.355808812024634,0.9195818409566846,342.0964000000001,508.53146666666663,166.43506666666656,3159714726.369852,6257579881.942806,3097865155.572954,1861.3055635548897,406.42085496528097,586.3112525197904,1107.4768103151596,179.89039755450943,701.0559553498786,0.0,0.0,0.0,0.0,0.0,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-HIGH;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S6,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0695,衡阳->南沙,424.294,C0713,宿州->桐庐,486.43,910.7239999999999,364.35,600.0,54.64343999999999,0.05,30,0.02,4.647502989722987,56.82135782210321,64.14236343160567,7.321005609502464,0.6348175698282018,396.03226666666666,562.6510333333334,166.61876666666677,3227781274.22413,5789213546.274497,2561432272.050367,1537.301183590383,278.9303439642344,484.24987283097073,914.6942042362781,205.31952886673633,635.7638602720438,0.0,0.0,0.0,4.440892098500626e-15,4.440892098500626e-15,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-LOW;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S6,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0695,衡阳->南沙,424.294,C0713,宿州->桐庐,486.43,910.7239999999999,364.35,800.0,72.85792,0.05,30,0.02,6.1966706529639834,56.82135782210321,64.14236343160567,7.321005609502464,0.8464234264376024,396.03226666666666,562.6510333333334,166.61876666666677,3227781274.22413,5789213546.274497,2561432272.050367,1537.301183590383,371.9071252856459,484.24987283097073,914.6942042362781,112.34274754532481,542.7870789506321,0.0,0.0,0.0,4.440892098500626e-15,4.440892098500626e-15,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-BASE;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S6,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0695,衡阳->南沙,424.294,C0713,宿州->桐庐,486.43,910.7239999999999,364.35,1500.0,136.6086,0.05,30,0.02,11.61875747430747,56.82135782210321,64.14236343160567,7.321005609502464,1.5870439245705046,396.03226666666666,562.6510333333334,166.61876666666677,3227781274.22413,5789213546.274497,2561432272.050367,1537.301183590383,697.3258599105861,484.24987283097073,914.6942042362781,-213.0759870796154,217.36834432569196,0.0,0.0,0.0,4.440892098500626e-15,4.440892098500626e-15,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-HIGH;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S7,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0777,衡阳->湛江,664.631,C0713,宿州->桐庐,486.43,1151.061,364.35,600.0,69.06366,0.05,30,0.02,5.873963394896294,56.37698203102868,67.03546228460532,10.658480253576634,0.5511070298155486,233.95593333333332,441.31666666666666,207.36073333333334,2136910576.8261375,5615646059.990603,3478735483.164466,1677.6249906352243,283.27269587023835,528.4518720500957,998.1868694279586,245.1791761798574,714.9141735577202,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-LOW;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S7,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0777,衡阳->湛江,664.631,C0713,宿州->桐庐,486.43,1151.061,364.35,800.0,92.08488,0.05,30,0.02,7.831951193195058,56.37698203102868,67.03546228460532,10.658480253576634,0.734809373087398,233.95593333333332,441.31666666666666,207.36073333333334,2136910576.8261375,5615646059.990603,3478735483.164466,1677.6249906352243,377.6969278269845,528.4518720500957,998.1868694279586,150.75494422311124,620.4899416009741,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-BASE;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S7,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0777,衡阳->湛江,664.631,C0713,宿州->桐庐,486.43,1151.061,364.35,1500.0,172.65914999999998,0.05,30,0.02,14.684908487240733,56.37698203102868,67.03546228460532,10.658480253576634,1.3777675745388713,233.95593333333332,441.31666666666666,207.36073333333334,2136910576.8261375,5615646059.990603,3478735483.164466,1677.6249906352243,708.181739675596,528.4518720500957,998.1868694279586,-179.72986762550022,290.0051297523627,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-HIGH;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S8,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0777,衡阳->湛江,664.631,C0713,宿州->桐庐,486.43,1151.061,364.35,600.0,69.06366,0.05,30,0.02,5.873963394896294,57.889054182436496,69.2715222284135,11.382468045977006,0.5160535809254808,219.63286666666667,425.94010000000003,206.30723333333336,1963237927.648648,5388921915.729897,3425683988.0812483,1660.4769172326232,284.71921706233405,523.0502289282764,987.9837657534109,238.33101186594234,703.2645486910769,0.0,0.0,0.0,0.0,0.0,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-LOW;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S8,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0777,衡阳->湛江,664.631,C0713,宿州->桐庐,486.43,1151.061,364.35,800.0,92.08488,0.05,30,0.02,7.831951193195058,57.889054182436496,69.2715222284135,11.382468045977006,0.6880714412339743,219.63286666666667,425.94010000000003,206.30723333333336,1963237927.648648,5388921915.729897,3425683988.0812483,1660.4769172326232,379.62562274977876,523.0502289282764,987.9837657534109,143.42460617849764,608.3581430036322,0.0,0.0,0.0,0.0,0.0,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-BASE;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
S8,derived_scenario_specific,scenario_specific_two_link,1,3,2025;2040;2060,mid,C0777,衡阳->湛江,664.631,C0713,宿州->桐庐,486.43,1151.061,364.35,1500.0,172.65914999999998,0.05,30,0.02,14.684908487240733,57.889054182436496,69.2715222284135,11.382468045977006,1.2901339523137016,219.63286666666667,425.94010000000003,206.30723333333336,1963237927.648648,5388921915.729897,3425683988.0812483,1660.4769172326232,711.7980426558352,523.0502289282764,987.9837657534109,-188.74781372755876,276.18572309757576,0.0,0.0,0.0,0.0,0.0,greedy_single_seed_then_exhaustive_second_link,CONNECTOR-SCENARIO-HIGH;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
ALL,derived_equal_weight_cross_scenario,robust_two_link,8,24,2025;2040;2060,mid,C0698,武汉->上饶,424.655,C0788,上饶->惠州,691.109,1115.7640000000001,364.35,600.0,66.94584,0.05,30,0.02,5.693839764654583,55.953437605550214,65.15282385212181,9.1993862465716,0.6189369173162553,302.4070708333333,480.9444875,178.53741666666667,2363628068.3279386,6144548157.166264,3780920088.838325,2117.7186045530093,318.9157696442482,667.081360434198,1260.0425697090407,348.1655907899498,941.1268000647924,0.0,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,exhaustive_all_unordered_pairs,CONNECTOR-SCENARIO-LOW;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
ALL,derived_equal_weight_cross_scenario,robust_two_link,8,24,2025;2040;2060,mid,C0698,武汉->上饶,424.655,C0788,上饶->惠州,691.109,1115.7640000000001,364.35,800.0,89.26112,0.05,30,0.02,7.591786352872777,55.953437605550214,65.15282385212181,9.1993862465716,0.8252492230883405,302.4070708333333,480.9444875,178.53741666666667,2363628068.3279386,6144548157.166264,3780920088.838325,2117.7186045530093,425.22102619233095,667.081360434198,1260.0425697090407,241.86033424186706,834.8215435167097,0.0,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,exhaustive_all_unordered_pairs,CONNECTOR-SCENARIO-BASE;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
ALL,derived_equal_weight_cross_scenario,robust_two_link,8,24,2025;2040;2060,mid,C0698,武汉->上饶,424.655,C0788,上饶->惠州,691.109,1115.7640000000001,364.35,1500.0,167.36460000000002,0.05,30,0.02,14.234599411636458,55.953437605550214,65.15282385212181,9.1993862465716,1.5473422932906384,302.4070708333333,480.9444875,178.53741666666667,2363628068.3279386,6144548157.166264,3780920088.838325,2117.7186045530093,797.2894241106205,667.081360434198,1260.0425697090407,-130.2080636764225,462.75314559842013,0.0,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,exhaustive_all_unordered_pairs,CONNECTOR-SCENARIO-HIGH;LIU-2025-PIPE-COST-BASE;FU-2025-RAIL-COST;FU-2025-ROAD-COST,historical://data/derived/selected_plan_flow_recompute_v01.csv,v0.1,historical_metadata_only
