scenario,tier,year,pipeline_delivery_10kt,pipeline_tonne_km,average_pipeline_distance_km,unit_saving_vs_rail_cny_t,unit_saving_vs_road_cny_t,annual_cost_saving_vs_rail_100m_cny,annual_cost_saving_vs_road_100m_cny,annual_emission_saving_vs_rail_10kt_co2e,annual_emission_saving_vs_road_10kt_co2e,scope
S1,high,2025,4.1434,7844983.452142798,189.33685987698024,59.641110861248784,112.65543162680326,0.02471169787424982,0.04667765154024966,0.03265866611127047,0.07525692625640587,transport operation only; identical delivered task
S1,high,2030,2.5011,3395545.632268344,135.76208997114645,42.76505834091114,80.77844353283216,0.010695968741645287,0.020203496511996648,0.014135656467133117,0.03257346925035023,transport operation only; identical delivered task
S1,high,2035,43.7951,84112011.57282677,192.05804204768748,60.49828324502157,114.27453501837407,0.2649528364544044,0.5004664688583194,0.35015830417767785,0.8068865270181272,transport operation only; identical delivered task
S1,high,2040,99.2114,188055192.8876657,189.5499840619784,59.70824497952321,112.78224051687715,0.592373857596147,1.1189283976816111,0.7828737679913522,1.804013465371377,transport operation only; identical delivered task
S1,high,2045,180.8587,343871925.0613913,190.13291871576612,59.89186939546634,113.12908663588085,1.0831965639433827,2.0460379541152784,1.4315388240305722,3.298763377113927,transport operation only; identical delivered task
S1,high,2050,217.8665,232832952.43664637,106.8695519672122,33.66390886967185,63.58738342049127,0.7334238001754362,1.385356066998046,0.969283580993759,2.233566512724749,transport operation only; identical delivered task
S1,high,2055,220.4121,235553423.7515237,106.8695519672122,33.66390886967185,63.58738342049127,0.7419932848172999,1.401542871321566,0.9806089030775932,2.259663994048367,transport operation only; identical delivered task
S1,high,2060,179.5481,191882250.0356421,106.86955196721216,33.663908869671836,63.58738342049124,0.6044290876122727,1.1416993877120707,0.7988058068983781,1.8407264245919148,transport operation only; identical delivered task
S1,low,2025,0.4603,871517.56601374,189.33685987698024,59.641110861248784,112.65543162680326,0.0027452803329432816,0.005185529517781754,0.0036281276273152003,0.008360468010769808,transport operation only; identical delivered task
S1,low,2030,4.6038,8716690.355016416,189.33685987698024,59.641110861248784,112.65543162680326,0.027457574618301717,0.051864307612347685,0.03628758194793334,0.08361921057567248,transport operation only; identical delivered task
S1,low,2035,9.441,17875292.940985706,189.33685987698024,59.641110861248784,112.65543162680326,0.05630717276410498,0.10635799299886496,0.0744148445133235,0.1714776851828759,transport operation only; identical delivered task
S1,low,2040,15.0309,28459034.071249027,189.33685987698024,59.641110861248784,112.65543162680326,0.08964595732443445,0.16933125272393174,0.1184749588386097,0.27300751384549193,transport operation only; identical delivered task
S1,low,2045,21.4297,40574321.06105723,189.33685987698024,59.641110861248784,112.65543162680326,0.1278091113423303,0.24141721031329058,0.16891089857718128,0.38922946193872204,transport operation only; identical delivered task
S1,low,2050,28.6932,54326803.8782217,189.33685987698024,59.641110861248784,112.65543162680326,0.17112943221639837,0.32324448307541914,0.22616248454503693,0.5211570296037807,transport operation only; identical delivered task
S1,low,2055,36.8775,69822700.50113338,189.33685987698024,59.641110861248784,112.65543162680326,0.2199415065785702,0.4154450679817437,0.2906719021862183,0.6698091659073726,transport operation only; identical delivered task
S1,low,2060,32.457,61453064.61027148,189.33685987698024,59.641110861248784,112.65543162680326,0.19357715352235522,0.36564573443111537,0.2558291079725602,0.5895192488063344,transport operation only; identical delivered task
S1,mid,2025,1.8415,3486638.274634591,189.33685987698024,59.641110861248784,112.65543162680326,0.010982910565098964,0.020745497734075816,0.014514875137303802,0.03344732096856963,transport operation only; identical delivered task
S1,mid,2030,10.1652,19246470.4802148,189.33685987698024,59.641110861248784,112.65543162680326,0.06062638201267664,0.11451649935727809,0.08012305660913423,0.1846313913167006,transport operation only; identical delivered task
S1,mid,2035,11.119,21052365.449721437,189.33685987698024,59.641110861248784,112.65543162680326,0.06631495116662253,0.12526157442584257,0.08764099736719035,0.20195534175917776,transport operation only; identical delivered task
S1,mid,2040,11.9257,22579745.89834903,189.33685987698024,59.641110861248784,112.65543162680326,0.07112619957979946,0.13434948809517677,0.09399948217482702,0.21660750240286225,transport operation only; identical delivered task
S1,mid,2045,8.0716,15282513.981830336,189.33685987698024,59.641110861248784,112.65543162680326,0.048139919042765565,0.09093095819189051,0.06362110570635969,0.14660515662769844,transport operation only; identical delivered task
S1,mid,2050,31.6323,46060525.20891389,145.61231781727506,45.867880112441654,86.63932910127868,0.14509065440807878,0.27406012499303767,0.19174996644470854,0.441858618329111,transport operation only; identical delivered task
S1,mid,2055,103.1953,184109096.45947093,178.40841245625617,56.1986499237207,106.15300541147244,0.5799436538473336,1.0954491239338522,0.7664461685607775,1.7661585623357048,transport operation only; identical delivered task
S1,mid,2060,191.8444,356574693.6714888,185.86661569036613,58.54798394246534,110.59063633576787,1.12321028506519,2.1216194273453586,1.484420449754408,3.4206210363905925,transport operation only; identical delivered task
S2,high,2025,6.3646,20624554.340283856,324.051069042577,102.07608674841178,192.81038608033336,0.06496734617189416,0.12271609832468895,0.08586001971860169,0.19785134978634306,transport operation only; identical delivered task
S2,high,2030,45.9467,107623201.58299108,234.2348886492198,73.78398992450425,139.3697587462858,0.33901308498642196,0.6403580494187969,0.44803538818999183,1.0324293727856335,transport operation only; identical delivered task
S2,high,2035,143.3767,318019806.62423617,221.80717412538868,69.86925984949745,131.9752686046063,1.0017623908663442,1.8922178494142055,1.3239164549766953,3.0507640049462976,transport operation only; identical delivered task
S2,high,2040,299.9021,1002896391.853564,334.4079257376204,105.33849660735045,198.97271581388418,3.159123634338727,5.967233531528707,4.175057679286388,9.62078508705124,transport operation only; identical delivered task
S2,high,2045,515.9744,2055126633.392427,398.3001159345167,125.46453651937279,236.98856898103747,6.473648895186146,12.228003468684943,8.555492174812674,19.714829794133554,transport operation only; identical delivered task
S2,high,2050,793.3924,3711840901.363819,467.8442724386848,147.37094581818573,278.3673421010175,11.692298839296033,22.08545336311473,15.452393672377578,35.60768976678312,transport operation only; identical delivered task
S2,high,2055,1002.8657,6152974940.91329,613.5392745921304,193.2648714965211,365.0558683823176,19.38187106387687,36.61020089843408,25.614834679022028,59.0254886081812,transport operation only; identical delivered task
S2,high,2060,1230.4304,10363665785.458897,842.2797246767387,265.31811327317274,501.1564361826596,32.645547224195525,61.663811423480446,43.14394066486539,99.4186458799072,transport operation only; identical delivered task
S2,low,2025,0.5,1208098.689065213,241.6197378130426,76.11021741110844,143.76374399876036,0.0038055108705554223,0.007188187199938019,0.005029314842578483,0.011589290724202589,transport operation only; identical delivered task
S2,low,2030,6.2591,20187218.48080613,322.5258979854313,101.59565786541087,191.90290930133165,0.06358973821453932,0.1201139499607965,0.08403939053559593,0.19365598688637323,transport operation only; identical delivered task
S2,low,2035,16.2639,52693533.312289454,323.99076059425755,102.05708958719114,192.77450255358326,0.16598462993371182,0.3135265232081223,0.21936317917906104,0.5054890650647927,transport operation only; identical delivered task
S2,low,2040,30.7116,98976769.89474024,322.2781290936983,101.51761066451498,191.7554868107505,0.3117768251684318,0.5889117808737044,0.4120402930718036,0.9494841536002432,transport operation only; identical delivered task
S2,low,2045,42.7392,141753279.79208788,331.6704098160188,104.47617909204594,197.3438938405312,0.4465228313450769,0.843432014762923,0.590118903774462,1.3598392130454993,transport operation only; identical delivered task
S2,low,2050,83.1747,222973215.47723335,268.07817218124427,84.44462423709196,159.50651244784035,0.7023656287532851,1.3266906320895386,0.9282374960317225,2.1389820560730994,transport operation only; identical delivered task
S2,low,2055,142.5181,332554182.19480324,233.3417174343492,73.50264099182002,138.8383218734378,1.0475456739136304,1.9786973840590796,1.3844230604769658,3.1901922697947476,transport operation only; identical delivered task
S2,low,2060,256.7826,621037016.2299515,241.85323157797745,76.18376794706292,143.9026727888966,1.9562666011243475,3.6951702465682117,2.585377098565288,5.957608096693925,transport operation only; identical delivered task
S2,mid,2025,3.1065,9998171.209243383,321.8468118217732,101.38174572385857,191.49885303395507,0.03149423930911666,0.059489118694998136,0.04162238674408021,0.09591245641027178,transport operation only; identical delivered task
S2,mid,2030,14.894,52629624.023131534,353.3612462946928,111.30879258282826,210.24994154534227,0.16578331567286436,0.3131462629376327,0.21909712480829657,0.5048759832539008,transport operation only; identical delivered task
S2,mid,2035,54.6946,137602969.8641138,251.584196363286,79.2490218544351,149.6925968361552,0.4334493550719586,0.8187376706914772,0.5728411635443058,1.3200252899064437,transport operation only; identical delivered task
S2,mid,2040,108.2988,248502442.4731176,229.4600147675852,72.27990465178935,136.5287087867132,0.7827826937903206,1.47858953271505,1.0345156680155885,2.383883930644617,transport operation only; identical delivered task
S2,mid,2045,212.0938,480976322.7358741,226.77528656465876,71.43421526786751,134.93129550597197,1.5150754166180038,2.8618091202784512,2.0023044315494443,4.61400586400524,transport operation only; identical delivered task
S2,mid,2050,397.5482,1351566442.3136263,339.97549034648534,107.0922794591429,202.2854167561588,4.257434293287924,8.041820331766077,5.626571099351627,12.965576881114618,transport operation only; identical delivered task
S2,mid,2055,632.6427,2607100155.7054644,412.0967736931864,129.81048371335373,245.19758034744592,8.212365490472214,15.512245926447516,10.853357948201849,25.009911793682523,transport operation only; identical delivered task
S2,mid,2060,910.8223,4620692615.064389,507.310000541751,159.8026501706516,301.84945032234185,14.555181737452829,27.493121059633122,19.23594335651305,44.32630425631269,transport operation only; identical delivered task
S3,high,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transport operation only; identical delivered task
S3,high,2030,89.2585,433955910.6242829,486.1788071996313,153.1463242678839,289.27639028378064,1.3669611184664914,2.5820376682144834,1.8065584559288899,4.162939050618746,transport operation only; identical delivered task
S3,high,2035,146.561,754046318.2356105,514.4931586408461,162.06534497186655,306.1234293913035,2.3752459024421735,4.486575593501883,3.139094822814847,7.233566330834211,transport operation only; identical delivered task
S3,high,2040,211.4831,1099221747.0216615,519.7681266359637,163.72695989032857,309.2620353483984,3.462548503118234,6.540369394778887,4.576060132851177,10.5448342191788,transport operation only; identical delivered task
S3,high,2045,271.6329,1428790571.7317646,526.000558743718,165.6901760042712,312.97033245251225,4.500690300955059,8.501303901804,5.948055150119336,13.706387954622818,transport operation only; identical delivered task
S3,high,2050,329.286,1758221479.6255476,533.949660667489,168.19414311025906,317.70004809715596,5.5383976608204755,10.46141780377201,7.319476019681155,16.86661865404788,transport operation only; identical delivered task
S3,high,2055,382.8656,2418829959.695241,631.7699891803394,199.00754659180694,375.903143562302,7.619314373040011,14.392038260186686,10.069589122211289,23.203835803356448,transport operation only; identical delivered task
S3,high,2060,431.8735,3370583879.3278685,780.4562862337857,245.84373016364253,464.37149030910257,10.617339219882787,20.05497408200082,14.031740689641916,32.33401115439224,transport operation only; identical delivered task
S3,low,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transport operation only; identical delivered task
S3,low,2030,4.1718,12021482.363507746,288.1605629106799,90.77057731686419,171.45553493185457,0.03786766944504941,0.0715278200628711,0.05004543107928275,0.11532208031312981,transport operation only; identical delivered task
S3,low,2035,7.6919,22254840.44214622,289.32826014568855,91.13840194589191,172.1503147866847,0.0701027473927606,0.13241630063077003,0.09264690076065471,0.2134906843615087,transport operation only; identical delivered task
S3,low,2040,11.0137,31872230.4618435,289.38713113525426,91.15694630760511,172.1853430254763,0.10039752595480704,0.18963977124796885,0.1326840954126545,0.3057503068204648,transport operation only; identical delivered task
S3,low,2045,14.1126,40870088.659535006,289.5999933359906,91.22399790083705,172.31199603491442,0.12874077927753527,0.2431770275242333,0.17014217908964424,0.3920667605109193,transport operation only; identical delivered task
S3,low,2050,16.9363,49130475.09952039,290.08977816595353,91.37828012227538,172.60341800874238,0.15476099656348927,0.2923263268421464,0.2045301678393034,0.47130864762969915,transport operation only; identical delivered task
S3,low,2055,19.3577,56225376.64904782,290.4548404461678,91.49327474054287,172.82063006546986,0.17710993644450068,0.3345409910618346,0.23406624298998607,0.5393700381943158,transport operation only; identical delivered task
S3,low,2060,21.2938,61909365.51049092,290.7389264034175,91.58276181707653,172.98966121003343,0.19501450135804643,0.368360724787421,0.2577286886201737,0.5938965433421395,transport operation only; identical delivered task
S3,mid,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transport operation only; identical delivered task
S3,mid,2030,43.3514,179207142.5961767,413.3825957089661,130.21551764832435,245.96264444683487,0.5645024991779567,1.0662824984472516,0.7460393346278837,1.7191341189251232,transport operation only; identical delivered task
S3,mid,2035,81.9859,343925287.15101784,419.4932142612545,132.1403624922952,249.59846248544645,1.0833646545257065,2.0463554585485566,1.4317609704096874,3.2992752796397142,transport operation only; identical delivered task
S3,mid,2040,118.8166,501047623.6369169,421.6983347755423,132.83497545429586,250.91050919144772,1.5783000144562884,2.9812333606396555,2.0858612572004853,4.806549853548944,transport operation only; identical delivered task
S3,mid,2045,153.8719,652139080.8256856,423.8194763473289,133.50313504940863,252.17258842666072,2.05423810460091,3.8802275309128302,2.714854993477329,6.255970202360802,transport operation only; identical delivered task
S3,mid,2050,187.0868,798256975.2840781,426.67733655398354,134.40336101450484,253.87301524962024,2.5145094721448467,4.7496290029402655,3.323143788107618,7.657679163900162,transport operation only; identical delivered task
S3,mid,2055,212.4837,918775021.752115,432.3978835798299,136.20533332764646,257.27674072999883,2.8941413185191625,5.466711379425084,3.824860415554055,8.81380878366804,transport operation only; identical delivered task
S3,mid,2060,231.4165,1013622432.7252066,438.0078485005203,137.9724722776639,260.61466985780964,3.1929106630844015,6.03105347471498,4.219710187435036,9.723679997132907,transport operation only; identical delivered task
S4,high,2025,0.4487,913736.347716012,203.64081740940765,64.14685748396342,121.16628635859756,0.0028782694953054383,0.005436731268910272,0.0038038844155417586,0.008765472783639703,transport operation only; identical delivered task
S4,high,2030,11.7982,23185615.87261261,196.5182474666696,61.90324795200094,116.92835724266843,0.07303468999872974,0.13795441444204506,0.09652171887768629,0.2224196130659728,transport operation only; identical delivered task
