城市代码,城市,省份,城市经度_WGS84,城市纬度_WGS84,最近节点ID,最近管网节点,节点匹配城市,节点匹配省份,节点经度_WGS84,节点纬度_WGS84,最近距离_km,节点坐标来源,节点匹配置信度,节点涉及管道,第二近节点,第二近距离_km,第三近节点,第三近距离_km
150300000000,乌海市,内蒙古自治区,106.7922009,39.65309497,N049,巴彦淖尔,巴彦淖尔市,内蒙古自治区,107.3813318,40.7431593,131.13053186758714,直接匹配城市名,高,银巴线,银川,138.46392882294026,鄂尔多斯,255.63305321055566
150400000000,赤峰市,内蒙古自治区,118.8805283,42.25576578,N140,锦州,锦州市,辽宁省,121.1213238,41.09367767,226.55730788775332,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽河,322.4011884811032,固安,354.45264359546877
150500000000,通辽市,内蒙古自治区,122.2346316,43.65293254,N058,抚顺,抚顺市,辽宁省,123.9514419,41.87872444,241.9825831056395,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,长春,248.4044547308621,辽阳,277.6686720504348
150600000000,鄂尔多斯市,内蒙古自治区,109.7767426,39.60774057,N135,鄂尔多斯,鄂尔多斯市,内蒙古自治区,109.7767426,39.60774057,0.0,直接匹配城市名,高,呼和浩特-包头-鄂尔多斯成品油管道,包头,113.57962677428675,呼和浩特,215.9495335782302
150700000000,呼伦贝尔市,内蒙古自治区,119.757987,49.20655301,N143,长春,长春市,吉林省,125.3184929,43.81369331,734.8562169453729,直接匹配城市名,高,吉林石化-长春成品油管道,吉林,790.7889053438363,抚顺,877.4740593988744
150800000000,巴彦淖尔市,内蒙古自治区,107.3813318,40.7431593,N049,巴彦淖尔,巴彦淖尔市,内蒙古自治区,107.3813318,40.7431593,0.0,直接匹配城市名,高,银巴线,包头,216.84849826783247,鄂尔多斯,239.48301836246085
150900000000,乌兰察布市,内蒙古自治区,113.1265836,40.99210319,N032,呼和浩特,呼和浩特市,内蒙古自治区,111.7415103,40.84127836,117.58298599136668,直接匹配城市名,高,呼和浩特-包头-鄂尔多斯成品油管道,包头,270.6824565975011,保定,308.1113362179598
152200000000,兴安盟,内蒙古自治区,122.0870959,46.07018056,N143,长春,长春市,吉林省,125.3184929,43.81369331,357.20960400762624,直接匹配城市名,高,吉林石化-长春成品油管道,吉林,429.908127167266,抚顺,489.3250089350152
152500000000,锡林郭勒盟,内蒙古自治区,116.0790185,43.93109993,N036,固安,廊坊市,河北省,116.6776883,39.53722851,491.0916754419208,别名映射至地级市,高,抚顺-锦州-郑州成品油管道,呼和浩特,494.78872831219314,锦州,519.7921591034608
152900000000,阿拉善盟,内蒙古自治区,105.7246943,38.85135975,N139,银川,银川市,宁夏回族自治区,106.2305529,38.4866953,59.773983044002,直接匹配城市名,高,银巴线,巴彦淖尔,253.52652233414975,武威,288.04013070937765
