管道名称,管段数,管段ID列表,起止节点列表,设计输量最小值_万吨年,设计输量最大值_万吨年,设计输量中位数_万吨年,长度合计_km,投产年份最早,投产年份最晚,油品,管输折算系数,年份,管道瓶颈占用率,管道瓶颈占用率_%,管道平均占用率,管道平均占用率_%,瓶颈管段ID,瓶颈管段,瓶颈管段任务_万吨年,瓶颈管段设计输量_万吨年,管道代表任务_万吨年,代表任务管段ID,代表任务管段,超设计管段数,高负荷管段数,管道负荷等级
安庆-合肥成品油管道,1,S090,安庆→合肥,120.0,120.0,120.0,158.85,2007.0,2007.0,3#喷气燃料,0.2192948931298923,2025,0.5853592446322077,58.535924463220766,0.5853592446322077,58.535924463220766,S090,安庆→合肥,70.24310935586492,120.0,70.24310935586492,S090,安庆→合肥,0,0,中负荷
兰郑长成品油管道,4,S012；S014；S015；S013,兰州→咸阳；郑州→武汉；武汉→长沙；咸阳→郑州,500.0,1500.0,1000.0,8347.28,2009.0,2009.0,0#柴油、92#车用汽油、92#组分汽油,0.2192948931298923,2025,0.563052347402572,56.305234740257205,0.35769098580656206,35.769098580656205,S012,兰州→咸阳,563.0523474025721,1000.0,563.0523474025721,S012,兰州→咸阳,0,0,中负荷
鲁皖一期管道,9,S110；S111；S112；S113；S114；S115；S116；S118；S117,齐鲁→淄博；淄博→济南；济南→泰安；泰安→曲阜；曲阜→枣庄；枣庄→徐州；徐州→宿州；枣庄→临沂；曲阜→济宁,655.0,655.0,655.0,6926.22,2005.0,2005.0,0#普柴、0#车柴、92#组分汽油、95#组分汽油、95#清洁汽油,0.2192948931298923,2025,0.5194981976756778,51.94981976756778,0.285894608348695,28.589460834869502,S110,齐鲁→淄博,340.271319477569,655.0,340.271319477569,S110,齐鲁→淄博,0,0,中负荷
湘娄支线,1,S079,湘潭→娄底,250.0,250.0,250.0,117.48,2014.0,2014.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2025,0.5158690327561909,51.586903275619086,0.5158690327561909,51.586903275619086,S079,湘潭→娄底,128.96725818904773,250.0,128.96725818904773,S079,湘潭→娄底,0,0,中负荷
洛驻管道,5,S133；S134；S135；S136；S137,洛阳→巩义；巩义→郑州；郑州→许昌；许昌→漯河；漯河→驻马店,820.0,820.0,820.0,2141.8,2007.0,2007.0,0#车柴、92#组分汽油、95#组分汽油,0.2192948931298923,2025,0.4802241329444669,48.02241329444669,0.2603589000424267,26.035890004242667,S133,洛阳→巩义,393.78378901446285,820.0,393.78378901446285,S133,洛阳→巩义,0,0,低负荷
西南成品油管网（南线）,6,S053；S054；S057；S055；S056；S058,东海岛→南宁；南宁→长坡；长坡→曲靖；长坡→大理；南宁→黎塘；秋田冲→昆东,800.0,800.0,800.0,10887.6,2012.0,2012.0,92#清洁汽油、92#汽油、95#汽油、0#车柴,0.2192948931298923,2025,0.4772462031557141,47.72462031557141,0.1736785816515207,17.367858165152068,S053,东海岛→南宁,381.79696252457126,800.0,381.79696252457126,S053,东海岛→南宁,0,0,低负荷
钦南柳成品油管道,2,S043；S044,钦州→南宁；南宁→柳州,300.0,500.0,400.0,727.3,2018.0,2018.0,E92#汽油组分油、92#汽油、E95#汽油组分油、95#汽油和0#柴油,0.2192948931298923,2025,0.4707425721014472,47.07425721014472,0.3678786830965842,36.78786830965842,S043,钦州→南宁,235.3712860507236,500.0,235.3712860507236,S043,钦州→南宁,0,0,低负荷
淮蚌支线,1,S092,淮南→蚌埠,80.0,80.0,80.0,104.72,2016.0,2016.0,92#汽油、95#汽油、0#车用柴油、0#普通柴油,0.2192948931298923,2025,0.4524916709595804,45.24916709595804,0.4524916709595804,45.24916709595804,S092,淮南→蚌埠,36.19933367676644,80.0,36.19933367676644,S092,淮南→蚌埠,0,0,低负荷
荆门-荆州成品油管道,1,S071,荆门→荆州,150.0,150.0,150.0,92.12,2003.0,2003.0,0#柴油、90#汽油、93#汽油,0.2192948931298923,2025,0.4176856878688785,41.76856878688785,0.4176856878688785,41.76856878688785,S071,荆门→荆州,62.652853180331775,150.0,62.652853180331775,S071,荆门→荆州,0,0,低负荷
大港-济南-枣庄成品油管道,7,S016；S017；S018；S019；S020；S022；S023,大港→沧州；沧州→德州；德州→济南；济南→济南；济南→兖州；兖州→肥城；肥城→枣庄,285.0,285.0,285.0,4304.09,2007.0,2007.0,0#柴油、92#组分汽油,0.2192948931298923,2025,0.4162874527991161,41.62874527991161,0.2082984304229693,20.82984304229693,S016,大港→沧州,118.64192404774808,285.0,118.64192404774808,S016,大港→沧州,0,0,低负荷
