管道名称,管段数,管段ID列表,起止节点列表,设计输量最小值_万吨年,设计输量最大值_万吨年,设计输量中位数_万吨年,长度合计_km,投产年份最早,投产年份最晚,油品,管输折算系数,年份,管道瓶颈占用率,管道瓶颈占用率_%,管道平均占用率,管道平均占用率_%,瓶颈管段ID,瓶颈管段,瓶颈管段任务_万吨年,瓶颈管段设计输量_万吨年,管道代表任务_万吨年,代表任务管段ID,代表任务管段,超设计管段数,高负荷管段数,管道负荷等级
九江-赣州成品油管道,4,S081；S082；S083；S084,九江→南昌；南昌→吉安长塘；吉安长塘→樟树；樟树→赣州,170.0,330.0,257.0,2171.56,2016.0,2016.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2030,0.8645109630410872,86.45109630410872,0.607287641791131,60.72876417911311,S081,九江→南昌,285.2886178035588,330.0,285.2886178035588,S081,九江→南昌,0,1,高负荷
苏南成品油管道,1,S098,南京(南京→苏州(苏州,580.0,580.0,580.0,373.25,2010.0,2010.0,0#柴油、-10#柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2030,0.7767349923646082,77.67349923646081,0.7767349923646082,77.67349923646081,S098,南京(南京→苏州(苏州,450.5062955714727,580.0,450.5062955714727,S098,南京(南京→苏州(苏州,0,0,中负荷
浙赣成品油管道,3,S101；S099；S100,诸暨→桐庐；算山→龙游；龙游→樟树,135.0,760.0,450.0,2573.7,2013.0,2013.0,0#柴油、95#汽油、92#汽油,0.2192948931298923,2030,0.7553933308165974,75.53933308165975,0.3658907920112486,36.58907920112486,S101,诸暨→桐庐,101.97809966024066,135.0,147.26887771123802,S099,算山→龙游,0,0,中负荷
甬台温成品油管道,4,S103；S104；S105；S106,算山→宁海；宁海→临海；临海→灵昆；灵昆→瑞安,460.0,460.0,460.0,1635.28,2018.0,2018.0,90#汽油、93#汽油、97#汽油、0#车用柴油、0#普通柴油,0.2192948931298923,2030,0.6153387532456862,61.53387532456862,0.3352823474933342,33.52823474933342,S103,算山→宁海,283.0558264930157,460.0,283.0558264930157,S103,算山→宁海,0,0,中负荷
安庆-合肥成品油管道,1,S090,安庆→合肥,120.0,120.0,120.0,158.85,2007.0,2007.0,3#喷气燃料,0.2192948931298923,2030,0.6119714297616059,61.19714297616059,0.6119714297616059,61.19714297616059,S090,安庆→合肥,73.4365715713927,120.0,73.4365715713927,S090,安庆→合肥,0,0,中负荷
云南成品油管网（安蒙线）,2,S039；S038,玉溪→蒙自；安宁→玉溪,115.0,225.0,170.0,502.48,2017.0,2017.0,0号柴油、92号汽油、95号汽油,0.2192948931298923,2030,0.5719503012743369,57.19503012743369,0.5324726258708549,53.24726258708549,S039,玉溪→蒙自,65.77428464654874,115.0,110.92386385515888,S038,安宁→玉溪,0,0,中负荷
鲁皖一期管道,9,S110；S111；S112；S113；S114；S115；S116；S118；S117,齐鲁→淄博；淄博→济南；济南→泰安；泰安→曲阜；曲阜→枣庄；枣庄→徐州；徐州→宿州；枣庄→临沂；曲阜→济宁,655.0,655.0,655.0,6926.22,2005.0,2005.0,0#普柴、0#车柴、92#组分汽油、95#组分汽油、95#清洁汽油,0.2192948931298923,2030,0.5044195813541898,50.441958135418986,0.2781408201813128,27.81408201813128,S110,齐鲁→淄博,330.3948257869944,655.0,330.3948257869944,S110,齐鲁→淄博,0,0,中负荷
兰郑长成品油管道,4,S012；S014；S015；S013,兰州→咸阳；郑州→武汉；武汉→长沙；咸阳→郑州,500.0,1500.0,1000.0,8347.28,2009.0,2009.0,0#柴油、92#车用汽油、92#组分汽油,0.2192948931298923,2030,0.5032101588072745,50.32101588072745,0.31960743816262177,31.960743816262177,S012,兰州→咸阳,503.2101588072745,1000.0,503.2101588072745,S012,兰州→咸阳,0,0,中负荷
钦南柳成品油管道,2,S043；S044,钦州→南宁；南宁→柳州,300.0,500.0,400.0,727.3,2018.0,2018.0,E92#汽油组分油、92#汽油、E95#汽油组分油、95#汽油和0#柴油,0.2192948931298923,2030,0.5029207669664273,50.29207669664273,0.3921205884306485,39.21205884306485,S043,钦州→南宁,251.4603834832137,500.0,251.4603834832137,S043,钦州→南宁,0,0,中负荷
洛驻管道,5,S133；S134；S135；S136；S137,洛阳→巩义；巩义→郑州；郑州→许昌；许昌→漯河；漯河→驻马店,820.0,820.0,820.0,2141.8,2007.0,2007.0,0#车柴、92#组分汽油、95#组分汽油,0.2192948931298923,2030,0.5009016154756899,50.09016154756899,0.26937070204581065,26.937070204581065,S133,洛阳→巩义,410.73932469006576,820.0,410.73932469006576,S133,洛阳→巩义,0,0,中负荷
西南成品油管网（南线）,6,S053；S054；S057；S055；S056；S058,东海岛→南宁；南宁→长坡；长坡→曲靖；长坡→大理；南宁→黎塘；秋田冲→昆东,800.0,800.0,800.0,10887.6,2012.0,2012.0,92#清洁汽油、92#汽油、95#汽油、0#车柴,0.2192948931298923,2030,0.4642487689866164,46.42487689866164,0.16251427594549453,16.251427594549455,S053,东海岛→南宁,371.3990151892931,800.0,371.3990151892931,S053,东海岛→南宁,0,0,低负荷
淮蚌支线,1,S092,淮南→蚌埠,80.0,80.0,80.0,104.72,2016.0,2016.0,92#汽油、95#汽油、0#车用柴油、0#普通柴油,0.2192948931298923,2030,0.4636015265634789,46.36015265634789,0.4636015265634789,46.36015265634789,S092,淮南→蚌埠,37.08812212507832,80.0,37.08812212507832,S092,淮南→蚌埠,0,0,低负荷
湘娄支线,1,S079,湘潭→娄底,250.0,250.0,250.0,117.48,2014.0,2014.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2030,0.4542264933238617,45.42264933238617,0.4542264933238617,45.42264933238617,S079,湘潭→娄底,113.55662333096544,250.0,113.55662333096544,S079,湘潭→娄底,0,0,低负荷
大港-济南-枣庄成品油管道,7,S016；S017；S018；S019；S020；S022；S023,大港→沧州；沧州→德州；德州→济南；济南→济南；济南→兖州；兖州→肥城；肥城→枣庄,285.0,285.0,285.0,4304.09,2007.0,2007.0,0#柴油、92#组分汽油,0.2192948931298923,2030,0.4103232544418577,41.032325444185766,0.2031052514490532,20.31052514490532,S016,大港→沧州,116.94212751592944,285.0,116.94212751592944,S016,大港→沧州,0,0,低负荷
荆门-襄阳成品油管道,1,S070,荆门→襄阳,350.0,350.0,350.0,128.75,2019.0,2019.0,0#车用柴油,0.2192948931298923,2030,0.3721104986297536,37.21104986297536,0.3721104986297536,37.21104986297536,S070,荆门→襄阳,130.23867452041378,350.0,130.23867452041378,S070,荆门→襄阳,0,0,低负荷
荆门-荆州成品油管道,1,S071,荆门→荆州,150.0,150.0,150.0,92.12,2003.0,2003.0,0#柴油、90#汽油、93#汽油,0.2192948931298923,2030,0.3601183326739653,36.01183326739653,0.3601183326739653,36.01183326739653,S071,荆门→荆州,54.0177499010948,150.0,54.0177499010948,S071,荆门→荆州,0,0,低负荷
苏北成品油管道,3,S095；S097；S096,南京(扬子→泰州(泰州；南京(扬子→盐城(盐城；南京(扬子→徐州(新沂,545.0,545.0,545.0,1827.81,2015.0,2015.0,0#柴油、-10#柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2030,0.2912778061092909,29.127780610929086,0.15402751194445177,15.402751194445177,S095,南京(扬子→泰州(泰州,158.74640432956355,545.0,158.74640432956355,S095,南京(扬子→泰州(泰州,0,0,低负荷
福建成品油管道（北线）,1,S107,泉港→兴闽,220.0,220.0,220.0,148.96,2010.0,2010.0,0#柴油、95#汽油、92#汽油、航煤,0.2192948931298923,2030,0.2482232855452235,24.82232855452235,0.2482232855452235,24.82232855452235,S107,泉港→兴闽,54.60912281994917,220.0,54.60912281994917,S107,泉港→兴闽,0,0,低负荷
合六支线,1,S091,合肥→六安,140.0,140.0,140.0,99.99,2019.0,2019.0,92#汽油、95#汽油、0#车用柴油,0.2192948931298923,2030,0.2045344852393493,20.45344852393493,0.2045344852393493,20.45344852393493,S091,合肥→六安,28.6348279335089,140.0,28.6348279335089,S091,合肥→六安,0,0,低负荷
鲁皖二期管道（西线）,3,S121；S122；S123,济南→聊城；聊城→濮阳；濮阳→汤阴,820.0,820.0,820.0,1066.71,2009.0,2009.0,0#普柴、 0#车柴、 92#清洁汽油、 92#组分汽油、95#清洁汽油,0.2192948931298923,2030,0.2032232308037915,20.32232308037915,0.16261338500137787,16.261338500137786,S121,济南→聊城,166.6430492591091,820.0,166.6430492591091,S121,济南→聊城,0,0,低负荷
石太管道,4,S129；S130；S131；S132,石家庄→高庄；高庄→阳泉；阳泉→晋中；晋中→太原,820.0,820.0,820.0,1288.08,2007.0,2007.0,0#车柴、0#普柴、92#组分汽油、95#组分汽油、92#清洁汽油、95#清洁汽油,0.2192948931298923,2030,0.136205091248152,13.6205091248152,0.12404639375946205,12.404639375946205,S129,石家庄→高庄,111.68817482348472,820.0,111.68817482348472,S129,石家庄→高庄,0,0,低负荷
鲁皖二期管道（汤郑支线）,2,S124；S125,汤阴→新乡；新乡→郑州,820.0,820.0,820.0,409.38,2010.0,2010.0,0#普柴、 0#车柴、 92#清洁汽油、 92#组分汽油、95#清洁汽油,0.2192948931298923,2030,0.1170981986133791,11.709819861337909,0.05854909930668955,5.8549099306689545,S124,汤阴→新乡,96.0205228629709,820.0,96.0205228629709,S124,汤阴→新乡,0,0,低负荷
鲁皖二期管道（汤石支线）,3,S126；S127；S128,汤阴→邯郸；邯郸→邢台；邢台→石家庄,820.0,820.0,820.0,936.51,2009.0,2009.0,0#普柴、 0#车柴、 92#清洁汽油、 92#组分汽油、95#清洁汽油,0.2192948931298923,2030,0.1092602447140213,10.926024471402132,0.07765725594350693,7.765725594350694,S126,汤阴→邯郸,89.59340066549747,820.0,89.59340066549747,S126,汤阴→邯郸,0,0,低负荷
福建成品油管道（南线）,2,S108；S109,泉港→东孚；泉港→石湖山,380.0,380.0,380.0,351.22,2013.0,2013.0,0#柴油、95#汽油、92#汽油、航煤,0.2192948931298923,2030,0.0928309348886099,9.28309348886099,0.04641546744430495,4.641546744430495,S108,泉港→东孚,35.275755257671776,380.0,35.275755257671776,S108,泉港→东孚,0,0,低负荷
湘株支线,1,S080,湘潭→株洲,350.0,350.0,350.0,22.99,2008.0,2008.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2030,0.0813452151069701,8.13452151069701,0.0813452151069701,8.13452151069701,S080,湘潭→株洲,28.47082528743954,350.0,28.47082528743954,S080,湘潭→株洲,0,0,低负荷
驻信管道,1,S138,驻马店→信阳,820.0,820.0,820.0,109.98,2013.0,2013.0,0#车柴、92#组分汽油、95#组分汽油,0.2192948931298923,2030,0.0719800010421952,7.19800010421952,0.0719800010421952,7.19800010421952,S138,驻马店→信阳,59.0236008546001,820.0,59.0236008546001,S138,驻马店→信阳,0,0,低负荷
兰成渝成品油管道,2,S034；S035,兰州→成都；成都→重庆,350.0,700.0,525.0,2500.0,2002.0,2002.0,0#柴油、92#车用汽油,0.2192948931298923,2030,0.0698333610020085,6.98333610020085,0.03491668050100425,3.491668050100425,S034,兰州→成都,48.88335270140601,700.0,48.88335270140601,S034,兰州→成都,0,0,低负荷
呼和浩特-包头-鄂尔多斯成品油管道,2,S024；S025,呼和浩特→包头；包头→鄂尔多斯,200.0,200.0,200.0,555.56,2014.0,2014.0,92#汽油、95 #汽油、0 #柴油、+5#柴油,0.2192948931298923,2030,0.0664550159716101,6.645501597161011,0.05595538717526415,5.5955387175264155,S024,呼和浩特→包头,13.291003194322029,200.0,13.291003194322029,S024,呼和浩特→包头,0,0,低负荷
鲁皖二期管道（东线）,2,S119；S120,青岛→潍坊；潍坊→济南,820.0,820.0,820.0,740.44,2008.0,2008.0,0#普柴、 0#车柴、 92#清洁汽油、 92#组分汽油、95#清洁汽油,0.2192948931298923,2030,0.0652877635123476,6.528776351234759,0.04968566394065489,4.96856639406549,S119,青岛→潍坊,53.53596608012509,820.0,53.53596608012509,S119,青岛→潍坊,0,0,低负荷
吉林石化-长春成品油管道,1,S033,吉林→长春,245.0,245.0,245.0,159.5,2014.0,2014.0,0#柴油、-35 #柴油、92#汽油、95#汽油,0.2192948931298923,2030,0.033599121150311,3.3599121150311,0.033599121150311,3.3599121150311,S033,吉林→长春,8.231784681826207,245.0,8.231784681826207,S033,吉林→长春,0,0,低负荷
银巴线,1,S021,银川→巴彦淖尔,240.0,240.0,240.0,367.44,2017.0,2017.0,,0.2192948931298923,2030,0.0072376878684156,0.72376878684156,0.0072376878684156,0.72376878684156,S021,银川→巴彦淖尔,1.737045088419764,240.0,1.737045088419764,S021,银川→巴彦淖尔,0,0,低负荷
西部成品油管道,6,S001；S002；S003；S004；S005；S006,乌鲁木齐→哈密；哈密→柳园；柳园→酒泉；酒泉→张掖；张掖→武威；武威→兰州,1000.0,1000.0,1000.0,11045.1,2006.0,2006.0,0#柴油、-35#柴油、92#汽油,0.2192948931298923,2030,0.006556909200611,0.6556909200611,0.0057856851302482,0.5785685130248199,S001,乌鲁木齐→哈密,6.556909200611032,1000.0,6.556909200611032,S001,乌鲁木齐→哈密,0,0,低负荷
156支线,1,S069,广水→广水武胜关镇,10.0,10.0,10.0,5.65,2014.0,2014.0,0#车用柴油、0#普通柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2030,0.0,0.0,0.0,0.0,S069,广水→广水武胜关镇,0.0,10.0,0.0,S069,广水→广水武胜关镇,0,0,低负荷
克拉玛依-乌鲁木齐成品油管道,1,S010,克拉玛依→王家沟,160.0,160.0,160.0,291.78,1996.0,1996.0,90#汽油、93#汽油、97#汽油、0#柴油、-10#柴油、-20#柴油、-35#柴油、航煤,0.2192948931298923,2030,0.0,0.0,0.0,0.0,S010,克拉玛依→王家沟,0.0,160.0,0.0,S010,克拉玛依→王家沟,0,0,低负荷
克拉玛依-乌鲁木齐成品油管道（复线）,1,S011,克拉玛依→王家沟,400.0,400.0,400.0,293.31,2009.0,2009.0,90#汽油、93#汽油、97#汽油、0#柴油、-10#柴油、-20#柴油、-35#柴油、航煤,0.2192948931298923,2030,0.0,0.0,0.0,0.0,S011,克拉玛依→王家沟,0.0,400.0,0.0,S011,克拉玛依→王家沟,0,0,低负荷
南武管道,1,S139,南疆(天津→武清,155.0,155.0,155.0,172.99,2018.0,2018.0,93#汽油、97#汽油、柴油,0.2192948931298923,2030,0.0,0.0,0.0,0.0,S139,南疆(天津→武清,0.0,155.0,0.0,S139,南疆(天津→武清,0,0,低负荷
格拉成品油管道,1,S140,格尔木→拉萨,130.0,130.0,130.0,1114.0,1976.0,1976.0,-20#柴油、-35#柴油、0#柴油、92#汽油、95#汽油,0.2192948931298923,2030,0.0,0.0,0.0,0.0,S140,格尔木→拉萨,0.0,130.0,0.0,S140,格尔木→拉萨,0,0,低负荷
独山子-703泵站-乌鲁木齐成品油管道,2,S007；S008,独山子→703；703→乌鲁木齐,100.0,100.0,100.0,591.58,1998.0,1998.0,90#汽油、93#汽油、97#汽油、0#柴油、-10#柴油、-20#柴油、-35#柴油、航煤,0.2192948931298923,2030,0.0,0.0,0.0,0.0,S007,独山子→703,0.0,100.0,0.0,S007,独山子→703,0,0,低负荷
独山子-乌鲁木齐成品油管道,1,S009,独山子→王家沟,520.0,520.0,520.0,222.69,2004.0,2004.0,90#汽油、93#汽油、97#汽油、0#柴油、-10#柴油、-20#柴油、-35#柴油、航煤,0.2192948931298923,2030,0.0,0.0,0.0,0.0,S009,独山子→王家沟,0.0,520.0,0.0,S009,独山子→王家沟,0,0,低负荷
绍杭成品油管道,1,S102,绍兴→萧山,500.0,500.0,500.0,92.12,2016.0,2016.0,0#柴油、95#汽油、92#汽油、航煤,0.2192948931298923,2030,0.0,0.0,0.0,0.0,S102,绍兴→萧山,0.0,500.0,0.0,S102,绍兴→萧山,0,0,低负荷
上饶-樟树成品油管道,1,S085,上饶→樟树,,,,314.77,2016.0,2016.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2030,,,,,,,,,66.82689275553636,S085,上饶→樟树,0,0,无设计输量
武汉-信阳成品油管道,1,S068,武汉→信阳,,,,229.51,2013.0,2013.0,0#车用柴油、0#普通柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2030,,,,,,,,,59.0236008546001,S068,武汉→信阳,0,0,无设计输量
西南成品油管网（北线）,8,S045；S046；S047；S048；S052；S049；S050；S051,湛江→茂名；茂名→柳州；柳州→贵阳；贵阳→曲靖；柳州→桂林；江津→重庆；柳州→柳库；贵阳→简阳,500.0,800.0,700.0,7127.96,2005.0,2016.0,92#汽油、95#汽油、0#车柴,0.2192948931298923,2035,1.21572125187238,121.57212518723799,0.3225592823775184,32.25592823775184,S045,湛江→茂名,607.86062593619,500.0,607.86062593619,S045,湛江→茂名,1,1,超过设计输量
珠三角成品油管网,9,S067；S064；S065；S059；S060；S061；S062；S063；S066,惠州→梅州；黄埔→南沙；黄埔→惠州；茂名→江门；南沙→南海；三水→花都；南沙→斗门；北沙→珠海；大鹏湾→妈湾,100.0,550.0,250.0,1802.8100000000002,2006.0,2015.0,0#柴油、-35#柴油、92#汽油,0.2192948931298923,2035,1.2102909874688417,121.02909874688417,0.29263132950709303,29.263132950709302,S067,惠州→梅州,145.234918496261,120.0,225.11234018696,S064,黄埔→南沙,1,1,超过设计输量
安庆-亳州成品油管道,4,S088；S087；S086；S089,淮南→阜阳；合肥→淮南；安庆→合肥；阜阳→亳州,140.0,410.0,205.0,1665.0,2016.0,2016.0,92#汽油、95#汽油、0#车用柴油、0#普通柴油,0.2192948931298923,2035,1.1417607642317706,114.17607642317707,0.7922390603250292,79.22390603250292,S088,淮南→阜阳,159.8465069924479,140.0,271.63040410717355,S086,安庆→合肥,1,1,超过设计输量
云南成品油管网（安保线）,2,S037；S036,大理→保山；安宁→大理,57.0,173.0,115.0,791.0,2017.0,2017.0,0号柴油、92号汽油、95号汽油,0.2192948931298923,2035,1.077528463156374,107.7528463156374,0.8474094606409062,84.74094606409062,S037,大理→保山,61.41912239991331,57.0,106.79124925570082,S036,安宁→大理,1,1,超过设计输量
云南成品油管网（安曲线）,3,S041；S040；S042,寻甸→曲靖；安宁→寻甸；寻甸→昆明,155.0,323.0,168.0,1124.6999999999998,2017.0,2017.0,0号柴油、92号汽油、95号汽油、3号喷气燃料,0.2192948931298923,2035,0.9583818390345864,95.83818390345864,0.47276214557124074,47.27621455712408,S041,寻甸→曲靖,148.54918505036088,155.0,148.54918505036088,S041,寻甸→曲靖,0,1,高负荷
九江-赣州成品油管道,4,S081；S082；S083；S084,九江→南昌；南昌→吉安长塘；吉安长塘→樟树；樟树→赣州,170.0,330.0,257.0,2171.56,2016.0,2016.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2035,0.8614167349680413,86.14167349680413,0.6025571546747511,60.25571546747511,S081,九江→南昌,284.26752253945364,330.0,284.26752253945364,S081,九江→南昌,0,1,高负荷
浙苏成品油管道,2,S094；S093,嘉兴(陈山→苏州(苏州；嘉兴(陈山→湖州(湖州,510.0,510.0,510.0,439.78,2007.0,2007.0,0#柴油、-10#柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2035,0.7560339062101906,75.60339062101906,0.3991056900762129,39.91056900762129,S094,嘉兴(陈山→苏州(苏州,385.5772921671973,510.0,385.5772921671973,S094,嘉兴(陈山→苏州(苏州,0,0,中负荷
抚顺-锦州-郑州成品油管道,7,S026；S027；S028；S029；S030；S031；S032,抚顺→辽阳；辽阳→辽河；辽河→锦州；锦州→固安；固安→保定；保定→邯郸；邯郸→郑州,600.0,1300.0,800.0,11160.099999999999,2018.0,2018.0,0#柴油、92#车用汽油、92#组分汽油,0.2192948931298923,2035,0.7382763762729831,73.82763762729832,0.3534425488570178,35.34425488570178,S026,抚顺→辽阳,442.9658257637899,600.0,442.9658257637899,S026,抚顺→辽阳,0,0,中负荷
长岭-郴州成品油管道,7,S077；S076；S078；S074；S072；S073；S075,衡阳→耒阳；湘潭→衡阳；耒阳→郴州；汨罗→长沙；长岭→七里山；七里山→汨罗；长沙→湘潭,100.0,600.0,385.0,3859.2400000000007,2014.0,2014.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2035,0.6823861404686149,68.23861404686149,0.400172042238576,40.0172042238576,S077,衡阳→耒阳,92.80451510373165,136.0,207.1261278291738,S072,长岭→七里山,0,0,中负荷
浙赣成品油管道,3,S101；S099；S100,诸暨→桐庐；算山→龙游；龙游→樟树,135.0,760.0,450.0,2573.7,2013.0,2013.0,0#柴油、95#汽油、92#汽油,0.2192948931298923,2035,0.6722539095617813,67.22539095617813,0.33420439641733474,33.42043964173347,S101,诸暨→桐庐,90.75427779084048,135.0,138.426250639683,S099,算山→龙游,0,0,中负荷
苏南成品油管道,1,S098,南京(南京→苏州(苏州,580.0,580.0,580.0,373.25,2010.0,2010.0,0#柴油、-10#柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2035,0.6647884347710298,66.47884347710298,0.6647884347710298,66.47884347710298,S098,南京(南京→苏州(苏州,385.5772921671973,580.0,385.5772921671973,S098,南京(南京→苏州(苏州,0,0,中负荷
安庆-合肥成品油管道,1,S090,安庆→合肥,120.0,120.0,120.0,158.85,2007.0,2007.0,3#喷气燃料,0.2192948931298923,2035,0.6201334947988214,62.01334947988214,0.6201334947988214,62.01334947988214,S090,安庆→合肥,74.41601937585857,120.0,74.41601937585857,S090,安庆→合肥,0,0,中负荷
云南成品油管网（安蒙线）,2,S039；S038,玉溪→蒙自；安宁→玉溪,115.0,225.0,170.0,502.48,2017.0,2017.0,0号柴油、92号汽油、95号汽油,0.2192948931298923,2035,0.5553823116401754,55.53823116401754,0.5196882899540142,51.96882899540142,S039,玉溪→蒙自,63.86896583862017,115.0,108.89871036026692,S038,安宁→玉溪,0,0,中负荷
甬台温成品油管道,4,S103；S104；S105；S106,算山→宁海；宁海→临海；临海→灵昆；灵昆→瑞安,460.0,460.0,460.0,1635.28,2018.0,2018.0,90#汽油、93#汽油、97#汽油、0#车用柴油、0#普通柴油,0.2192948931298923,2035,0.5459683390601205,54.59683390601205,0.297612736194497,29.761273619449703,S103,算山→宁海,251.14543596765543,460.0,251.14543596765543,S103,算山→宁海,0,0,中负荷
洛驻管道,5,S133；S134；S135；S136；S137,洛阳→巩义；巩义→郑州；郑州→许昌；许昌→漯河；漯河→驻马店,820.0,820.0,820.0,2141.8,2007.0,2007.0,0#车柴、92#组分汽油、95#组分汽油,0.2192948931298923,2035,0.5092834191234042,50.92834191234042,0.27215793455215664,27.215793455215664,S133,洛阳→巩义,417.6124036811915,820.0,417.6124036811915,S133,洛阳→巩义,0,0,中负荷
钦南柳成品油管道,2,S043；S044,钦州→南宁；南宁→柳州,300.0,500.0,400.0,727.3,2018.0,2018.0,E92#汽油组分油、92#汽油、E95#汽油组分油、95#汽油和0#柴油,0.2192948931298923,2035,0.4907099041510943,49.07099041510943,0.3818541312400668,38.18541312400668,S043,钦州→南宁,245.3549520755472,500.0,245.3549520755472,S043,钦州→南宁,0,0,低负荷
淮蚌支线,1,S092,淮南→蚌埠,80.0,80.0,80.0,104.72,2016.0,2016.0,92#汽油、95#汽油、0#车用柴油、0#普通柴油,0.2192948931298923,2035,0.4631409861648946,46.31409861648946,0.4631409861648946,46.31409861648946,S092,淮南→蚌埠,37.051278893191565,80.0,37.051278893191565,S092,淮南→蚌埠,0,0,低负荷
鲁皖一期管道,9,S110；S111；S112；S113；S114；S115；S116；S118；S117,齐鲁→淄博；淄博→济南；济南→泰安；泰安→曲阜；曲阜→枣庄；枣庄→徐州；徐州→宿州；枣庄→临沂；曲阜→济宁,655.0,655.0,655.0,6926.22,2005.0,2005.0,0#普柴、0#车柴、92#组分汽油、95#组分汽油、95#清洁汽油,0.2192948931298923,2035,0.4618831936443996,46.18831936443996,0.25256270582908097,25.256270582908098,S110,齐鲁→淄博,302.5334918370818,655.0,302.5334918370818,S110,齐鲁→淄博,0,0,低负荷
兰郑长成品油管道,4,S012；S014；S015；S013,兰州→咸阳；郑州→武汉；武汉→长沙；咸阳→郑州,500.0,1500.0,1000.0,8347.28,2009.0,2009.0,0#柴油、92#车用汽油、92#组分汽油,0.2192948931298923,2035,0.4605702205496186,46.05702205496186,0.27643662813886205,27.643662813886205,S012,兰州→咸阳,460.5702205496186,1000.0,460.5702205496186,S012,兰州→咸阳,0,0,低负荷
西南成品油管网（南线）,6,S053；S054；S057；S055；S056；S058,东海岛→南宁；南宁→长坡；长坡→曲靖；长坡→大理；南宁→黎塘；秋田冲→昆东,800.0,800.0,800.0,10887.6,2012.0,2012.0,92#清洁汽油、92#汽油、95#汽油、0#车柴,0.2192948931298923,2035,0.4467209456037297,44.67209456037297,0.15525403756151676,15.525403756151675,S053,东海岛→南宁,357.3767564829838,800.0,357.3767564829838,S053,东海岛→南宁,0,0,低负荷
大港-济南-枣庄成品油管道,7,S016；S017；S018；S019；S020；S022；S023,大港→沧州；沧州→德州；德州→济南；济南→济南；济南→兖州；兖州→肥城；肥城→枣庄,285.0,285.0,285.0,4304.09,2007.0,2007.0,0#柴油、92#组分汽油,0.2192948931298923,2035,0.384741318322185,38.4741318322185,0.192517481023772,19.2517481023772,S016,大港→沧州,109.65127572182271,285.0,109.65127572182271,S016,大港→沧州,0,0,低负荷
荆门-襄阳成品油管道,1,S070,荆门→襄阳,350.0,350.0,350.0,128.75,2019.0,2019.0,0#车用柴油,0.2192948931298923,2035,0.3709333713077348,37.09333713077348,0.3709333713077348,37.09333713077348,S070,荆门→襄阳,129.8266799577072,350.0,129.8266799577072,S070,荆门→襄阳,0,0,低负荷
荆门-荆州成品油管道,1,S071,荆门→荆州,150.0,150.0,150.0,92.12,2003.0,2003.0,0#柴油、90#汽油、93#汽油,0.2192948931298923,2035,0.3553005280063875,35.53005280063875,0.3553005280063875,35.53005280063875,S071,荆门→荆州,53.29507920095813,150.0,53.29507920095813,S071,荆门→荆州,0,0,低负荷
湘娄支线,1,S079,湘潭→娄底,250.0,250.0,250.0,117.48,2014.0,2014.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2035,0.3112139872670804,31.121398726708037,0.3112139872670804,31.121398726708037,S079,湘潭→娄底,77.80349681677009,250.0,77.80349681677009,S079,湘潭→娄底,0,0,低负荷
苏北成品油管道,3,S095；S097；S096,南京(扬子→泰州(泰州；南京(扬子→盐城(盐城；南京(扬子→徐州(新沂,545.0,545.0,545.0,1827.81,2015.0,2015.0,0#柴油、-10#柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2035,0.2455092275475415,24.55092275475415,0.12939624529544289,12.939624529544288,S095,南京(扬子→泰州(泰州,133.80252901341015,545.0,133.80252901341015,S095,南京(扬子→泰州(泰州,0,0,低负荷
鲁皖二期管道（西线）,3,S121；S122；S123,济南→聊城；聊城→濮阳；濮阳→汤阴,820.0,820.0,820.0,1066.71,2009.0,2009.0,0#普柴、 0#车柴、 92#清洁汽油、 92#组分汽油、95#清洁汽油,0.2192948931298923,2035,0.2042794442884296,20.42794442884296,0.16490254527622167,16.490254527622167,S121,济南→聊城,167.50914431651228,820.0,167.50914431651228,S121,济南→聊城,0,0,低负荷
福建成品油管道（北线）,1,S107,泉港→兴闽,220.0,220.0,220.0,148.96,2010.0,2010.0,0#柴油、95#汽油、92#汽油、航煤,0.2192948931298923,2035,0.2037651275837368,20.37651275837368,0.2037651275837368,20.37651275837368,S107,泉港→兴闽,44.828328068422095,220.0,44.828328068422095,S107,泉港→兴闽,0,0,低负荷
合六支线,1,S091,合肥→六安,140.0,140.0,140.0,99.99,2019.0,2019.0,92#汽油、95#汽油、0#车用柴油,0.2192948931298923,2035,0.2006014260931116,20.06014260931116,0.2006014260931116,20.06014260931116,S091,合肥→六安,28.084199653035625,140.0,28.084199653035625,S091,合肥→六安,0,0,低负荷
