管段ID,管道名称,起点节点,终点节点,起点节点ID,终点节点ID,起点经度_WGS84,起点纬度_WGS84,终点经度_WGS84,终点纬度_WGS84,设计输量_万吨年,投产年份,管段方向,坐标说明
S066,珠三角成品油管网,大鹏湾,妈湾,N039,N041,114.0548095,22.54760649,114.0548095,22.54760649,250.0,2006,大鹏湾 → 妈湾,节点坐标为城市点位或别名映射后的地级市点位
S067,珠三角成品油管网,惠州,梅州,N056,N075,114.4106386,23.11487488,116.1160706,24.29108064,120.0,2015,惠州 → 梅州,节点坐标为城市点位或别名映射后的地级市点位
S068,武汉-信阳成品油管道,武汉,信阳,N078,N014,114.3012374,30.59713291,114.0851703,32.15058474,,2013,湖北武汉 → 河南信阳,节点坐标为城市点位或别名映射后的地级市点位
S069,156支线,广水,广水武胜关镇,N050,N051,113.3761098,31.69215886,113.3761098,31.69215886,10.0,2014,湖北广水 → 湖北广水武胜关镇,节点坐标为城市点位或别名映射后的地级市点位
S070,荆门-襄阳成品油管道,荆门,襄阳,N119,N124,112.1931881,31.03762742,112.1159833,32.01139396,350.0,2019,湖北荆门 → 湖北襄阳,节点坐标为城市点位或别名映射后的地级市点位
S071,荆门-荆州成品油管道,荆门,荆州,N119,N118,112.1931881,31.03762742,112.2348628,30.33970576,150.0,2003,湖北荆门 → 湖北荆州,节点坐标为城市点位或别名映射后的地级市点位
S072,长岭-郴州成品油管道,长岭,七里山,N142,N002,113.260805,29.47623236,113.260805,29.47623236,600.0,2014,长岭库站 → 七里山站,节点坐标为城市点位或别名映射后的地级市点位
S073,长岭-郴州成品油管道,七里山,汨罗,N002,N083,113.260805,29.47623236,113.260805,29.47623236,560.0,2014,七里山站 → 汨罗站,节点坐标为城市点位或别名映射后的地级市点位
S074,长岭-郴州成品油管道,汨罗,长沙,N083,N144,113.260805,29.47623236,112.9334488,28.23178771,538.0,2014,汨罗站 → 长沙站,节点坐标为城市点位或别名映射后的地级市点位
S075,长岭-郴州成品油管道,长沙,湘潭,N144,N094,112.9334488,28.23178771,112.9385458,27.83333305,385.0,2014,长沙站 → 湘潭站,节点坐标为城市点位或别名映射后的地级市点位
S076,长岭-郴州成品油管道,湘潭,衡阳,N094,N123,112.9385458,27.83333305,112.5664064,26.89725267,220.0,2014,湘潭站 → 衡阳站,节点坐标为城市点位或别名映射后的地级市点位
S077,长岭-郴州成品油管道,衡阳,耒阳,N123,N112,112.5664064,26.89725267,112.5664064,26.89725267,136.0,2014,衡阳站 → 耒阳站,节点坐标为城市点位或别名映射后的地级市点位
S078,长岭-郴州成品油管道,耒阳,郴州,N112,N134,112.5664064,26.89725267,113.0099272,25.77315809,100.0,2014,耒阳站 → 郴州站,节点坐标为城市点位或别名映射后的地级市点位
S079,湘娄支线,湘潭,娄底,N094,N042,112.9385458,27.83333305,111.990876,27.70083635,250.0,2014,湖南湘潭 → 湖南娄底,节点坐标为城市点位或别名映射后的地级市点位
S080,湘株支线,湘潭,株洲,N094,N071,112.9385458,27.83333305,113.1266032,27.83380795,350.0,2008,湖南湘潭 → 湖南株洲,节点坐标为城市点位或别名映射后的地级市点位
S081,九江-赣州成品油管道,九江,南昌,N010,N025,115.9490642,29.65948813,115.8530507,28.68633588,330.0,2016,九江首站 → 南昌分输泵站,节点坐标为城市点位或别名映射后的地级市点位
S082,九江-赣州成品油管道,南昌,吉安长塘,N025,N030,115.8530507,28.68633588,114.9619304,27.09470019,240.0,2016,南昌分输泵站 → 吉安长塘站,节点坐标为城市点位或别名映射后的地级市点位
S083,九江-赣州成品油管道,吉安长塘,樟树,N030,N076,114.9619304,27.09470019,114.4123745,27.81877183,274.0,2016,吉安长塘站 → 樟树站,节点坐标为城市点位或别名映射后的地级市点位
S084,九江-赣州成品油管道,樟树,赣州,N076,N128,114.4123745,27.81877183,114.9288134,25.83432314,170.0,2016,樟树站 → 赣州末站,节点坐标为城市点位或别名映射后的地级市点位
S085,上饶-樟树成品油管道,上饶,樟树,N004,N076,117.938144,28.45851288,114.4123745,27.81877183,,2016,江西上饶 → 江西樟树,节点坐标为城市点位或别名映射后的地级市点位
S086,安庆-亳州成品油管道,安庆,合肥,N045,N029,117.107568,30.53495975,117.2197334,31.82313855,410.0,2016,安徽安庆 → 安徽合肥,节点坐标为城市点位或别名映射后的地级市点位
S087,安庆-亳州成品油管道,合肥,淮南,N029,N092,117.2197334,31.82313855,117.0131142,32.58738167,270.0,2016,安徽合肥 → 安徽淮南,节点坐标为城市点位或别名映射后的地级市点位
S088,安庆-亳州成品油管道,淮南,阜阳,N092,N145,117.0131142,32.58738167,115.8074841,32.89327954,140.0,2016,安徽淮南 → 安徽阜阳,节点坐标为城市点位或别名映射后的地级市点位
S089,安庆-亳州成品油管道,阜阳,亳州,N145,N011,115.8074841,32.89327954,115.7750466,33.84858031,140.0,2016,安徽阜阳 → 安徽亳州,节点坐标为城市点位或别名映射后的地级市点位
S090,安庆-合肥成品油管道,安庆,合肥,N045,N029,117.107568,30.53495975,117.2197334,31.82313855,120.0,2007,安徽安庆 → 安徽合肥,节点坐标为城市点位或别名映射后的地级市点位
S091,合六支线,合肥,六安,N029,N017,117.2197334,31.82313855,116.5092677,31.73197266,140.0,2019,安徽合肥 → 安徽六安,节点坐标为城市点位或别名映射后的地级市点位
S092,淮蚌支线,淮南,蚌埠,N092,N122,117.0131142,32.58738167,117.379653,32.91909899,80.0,2016,安徽淮南 → 安徽蚌埠,节点坐标为城市点位或别名映射后的地级市点位
S093,浙苏成品油管道,嘉兴(陈山,湖州(湖州,N035,N093,120.7489996,30.74856427,120.0792982,30.8934637,510.0,2007,浙江嘉兴(陈山首站) → 浙江湖州(湖州末站),节点坐标为城市点位或别名映射后的地级市点位
S094,浙苏成品油管道,嘉兴(陈山,苏州(苏州,N035,N116,120.7489996,30.74856427,120.581097,31.3019128,510.0,2007,浙江嘉兴(陈山首站) → 江苏苏州(苏州末站),节点坐标为城市点位或别名映射后的地级市点位
S095,苏北成品油管道,南京(扬子,泰州(泰州,N023,N087,118.7902705,32.06154044,119.915306,32.45511081,545.0,2015,江苏南京(扬子首站) → 江苏泰州(泰州末站),节点坐标为城市点位或别名映射后的地级市点位
S096,苏北成品油管道,南京(扬子,徐州(新沂,N023,N054,118.7902705,32.06154044,117.2749121,34.20440827,545.0,2015,江苏南京(扬子首站) → 江苏徐州(新沂末站),节点坐标为城市点位或别名映射后的地级市点位
S097,苏北成品油管道,南京(扬子,盐城(盐城,N023,N105,118.7902705,32.06154044,120.1563009,33.34840987,545.0,2015,江苏南京(扬子首站) → 江苏盐城(盐城末站),节点坐标为城市点位或别名映射后的地级市点位
