alias,city_code,canonical_city_name,province_name,resolution_method,evidence_note,review_status
铜川市,610200,铜川市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
铜陵市,340700,铜陵市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
银川市,640100,银川市,宁夏回族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
锡林郭勒盟,152500,锡林郭勒盟,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
锦州市,210700,锦州市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
镇江市,321100,镇江市,江苏省,canonical,Exact canonical name from frozen 2024 city master.,approved
长春市,220100,长春市,吉林省,canonical,Exact canonical name from frozen 2024 city master.,approved
长沙市,430100,长沙市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
长治市,140400,长治市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
阜新市,210900,阜新市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
阜阳市,341200,阜阳市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
防城港市,450600,防城港市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
阳江市,441700,阳江市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
阳泉市,140300,阳泉市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
阿克苏地区,652900,阿克苏地区,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
阿勒泰地区,654300,阿勒泰地区,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
阿坝藏族羌族自治州,513200,阿坝藏族羌族自治州,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
阿拉善盟,152900,阿拉善盟,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
阿里地区,542500,阿里地区,西藏自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
陇南市,621200,陇南市,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
随州市,421300,随州市,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
雅安市,511800,雅安市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
青岛市,370200,青岛市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
鞍山市,210300,鞍山市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
韶关市,440200,韶关市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
马鞍山市,340500,马鞍山市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
驻马店市,411700,驻马店市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
鸡西市,230300,鸡西市,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
鹤壁市,410600,鹤壁市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
鹤岗市,230400,鹤岗市,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
鹰潭市,360600,鹰潭市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
黄冈市,421100,黄冈市,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
黄南藏族自治州,632300,黄南藏族自治州,青海省,canonical,Exact canonical name from frozen 2024 city master.,approved
黄山市,341000,黄山市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
黄石市,420200,黄石市,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
黑河市,231100,黑河市,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
黔东南苗族侗族自治州,522600,黔东南苗族侗族自治州,贵州省,canonical,Exact canonical name from frozen 2024 city master.,approved
黔南布依族苗族自治州,522700,黔南布依族苗族自治州,贵州省,canonical,Exact canonical name from frozen 2024 city master.,approved
黔西南布依族苗族自治州,522300,黔西南布依族苗族自治州,贵州省,canonical,Exact canonical name from frozen 2024 city master.,approved
齐齐哈尔市,230200,齐齐哈尔市,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
龙岩市,350800,龙岩市,福建省,canonical,Exact canonical name from frozen 2024 city master.,approved
