alias,city_code,canonical_city_name,province_name,resolution_method,evidence_note,review_status
合肥市,340100,合肥市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
吉安市,360800,吉安市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
吉林市,220200,吉林市,吉林省,canonical,Exact canonical name from frozen 2024 city master.,approved
吐鲁番市,650400,吐鲁番市,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
吕梁市,141100,吕梁市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
吴忠市,640300,吴忠市,宁夏回族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
周口市,411600,周口市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
呼伦贝尔市,150700,呼伦贝尔市,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
呼和浩特市,150100,呼和浩特市,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
和田地区,653200,和田地区,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
咸宁市,421200,咸宁市,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
咸阳市,610400,咸阳市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
哈密市,650500,哈密市,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
哈尔滨市,230100,哈尔滨市,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
唐山市,130200,唐山市,河北省,canonical,Exact canonical name from frozen 2024 city master.,approved
商丘市,411400,商丘市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
商洛市,611000,商洛市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
喀什地区,653100,喀什地区,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
嘉兴市,330400,嘉兴市,浙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
嘉峪关市,620200,嘉峪关市,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
四平市,220300,四平市,吉林省,canonical,Exact canonical name from frozen 2024 city master.,approved
固原市,640400,固原市,宁夏回族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
塔城地区,654200,塔城地区,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
大兴安岭地区,232700,大兴安岭地区,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
大同市,140200,大同市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
大庆市,230600,大庆市,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
