city_code,city_name,province_code,province_name,admin_type,longitude,latitude,valid_from,valid_to,source_id
150400,赤峰市,150000,内蒙古自治区,prefecture_city,118.88271334395,42.254077923006,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
150500,通辽市,150000,内蒙古自治区,prefecture_city,122.238577460496,43.649357001602,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
150600,鄂尔多斯市,150000,内蒙古自治区,prefecture_city,109.775332664574,39.607210717798,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
150700,呼伦贝尔市,150000,内蒙古自治区,prefecture_city,119.758637637692,49.210240868321,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
150800,巴彦淖尔市,150000,内蒙古自治区,prefecture_city,107.382255959271,40.742022850137,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
150900,乌兰察布市,150000,内蒙古自治区,prefecture_city,113.125579242306,40.993283534638,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
152200,兴安盟,150000,内蒙古自治区,league,122.031889983286,46.080140892253,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
152500,锡林郭勒盟,150000,内蒙古自治区,league,116.041204705982,43.930907661993,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
152900,阿拉善盟,150000,内蒙古自治区,league,105.724683101282,38.851502560318,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
210100,沈阳市,210000,辽宁省,prefecture_city,123.458537438262,41.675510212194,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
210200,大连市,210000,辽宁省,prefecture_city,121.610227059177,38.912049613686,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
210300,鞍山市,210000,辽宁省,prefecture_city,122.989280124588,41.107521221507,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
210400,抚顺市,210000,辽宁省,prefecture_city,123.952244176918,41.877458012854,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
210500,本溪市,210000,辽宁省,prefecture_city,123.680275669522,41.484596978204,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
